BHLHE40	8.5872e-35	129	1000	1000	26254	26254
GABPA	1.1100e-09	68	900	901	26254	26254
MAX	1.4921e-07	67	900	1000	26254	26254
ELK1	2.7980e-07	38	500	800	26254	26254
ZBTB33	4.5985e-05	37	600	800	26254	26254
USF2	1.4434e-04	40	700	807	26254	26254
YY1	4.9371e-03	13	1000	150	26254	26254
HNF4G	4.9817e-03	9	140	600	26254	26254
ATF3	1.3707e-02	7	110	604	26254	26254
MAFK	2.8297e-02	1	3	250	26254	26254
FOSL2	6.6495e-02	1	10	180	26254	26254
CTCF	6.7387e-02	1	2	900	26254	26254
CEBPB	7.7243e-02	14	600	400	26254	26254
FOXA1	9.0668e-02	1	83	30	26254	26254
FOXA2	9.2308e-02	1	10	253	26254	26254
REST	1.0151e-01	1	16	175	26254	26254
HNF4A	1.5804e-01	9	160	1000	26254	26254
NFE2L2	1.8886e-01	1	6	900	26254	26254
JUND	9.9990e+03	-1	-1	-1	26254	26254
