CEBPB	5.4426e-16	36	400	1014	60312	60312
ATF3	1.4819e-08	26	600	700	60312	60312
BHLHE40	1.8353e-06	26	600	901	60312	60312
FOSL2	1.1489e-05	35	1000	943	60312	60312
ELK1	1.1527e-05	34	900	1004	60312	60312
MAX	2.8865e-05	17	700	453	60312	60312
NFE2L2	3.8148e-05	35	1000	1000	60312	60312
ZBTB33	9.6340e-05	29	1000	801	60312	60312
GABPA	8.6017e-04	29	900	1019	60312	60312
JUND	3.1238e-03	17	1000	480	60312	60312
USF2	4.8349e-03	24	1000	806	60312	60312
CTCF	2.5483e-02	2	600	25	60312	60312
FOXA1	2.6462e-02	1	4	403	60312	60312
FOXA2	2.9773e-02	1	4	454	60312	60312
MAFK	3.3834e-02	2	700	25	60312	60312
HNF4A	8.6714e-02	1	210	26	60312	60312
HNF4G	1.2378e-01	3	210	350	60312	60312
YY1	2.5313e-01	3	700	150	60312	60312
REST	4.2501e-01	9	700	700	60312	60312
