CTCF	2.2329e-08	78	1000	1000	24745	24745
ZBTB33	3.3342e-04	44	700	900	24745	24745
REST	1.2239e-03	24	300	1000	24745	24745
MAX	2.3920e-03	34	1000	501	24745	24745
ELK1	2.5648e-03	33	600	806	24745	24745
BHLHE40	3.0748e-03	3	93	77	24745	24745
GABPA	7.0125e-03	27	401	1000	24745	24745
NFE2L2	7.5918e-03	2	130	25	24745	24745
ATF3	1.0827e-02	24	500	713	24745	24745
USF2	3.5837e-02	43	1000	800	24745	24745
FOSL2	1.3696e-01	1	6	600	24745	24745
YY1	1.9934e-01	1	6	900	24745	24745
CEBPB	2.1784e-01	6	1000	100	24745	24745
JUND	2.6805e-01	2	500	50	24745	24745
HNF4G	3.7931e-01	5	500	200	24745	24745
HNF4A	4.4176e-01	4	140	600	24745	24745
FOXA1	9.9990e+03	-1	-1	-1	24745	24745
FOXA2	9.9990e+03	-1	-1	-1	24745	24745
MAFK	9.9990e+03	-1	-1	-1	24745	24745
