FOSL2	3.2565e-23	71	1000	701	39664	39664
JUND	3.2934e-14	61	1000	803	39664	39664
NFE2L2	3.0884e-11	55	800	1001	39664	39664
BHLHE40	1.5804e-04	10	96	1000	39664	39664
GABPA	2.9631e-04	2	3	396	39664	39664
HNF4A	3.7703e-03	4	56	450	39664	39664
HNF4G	8.1641e-03	1	13	25	39664	39664
CEBPB	1.6544e-02	2	26	301	39664	39664
FOXA2	2.3265e-02	1	3	310	39664	39664
REST	3.2523e-02	11	230	1000	39664	39664
USF2	3.7252e-02	1	5	300	39664	39664
MAFK	5.0886e-02	8	200	800	39664	39664
FOXA1	5.2601e-02	1	3	708	39664	39664
YY1	5.5236e-02	2	200	75	39664	39664
ATF3	9.9791e-02	11	400	700	39664	39664
MAX	1.6844e-01	1	73	100	39664	39664
CTCF	1.7981e-01	6	250	600	39664	39664
ELK1	3.1348e-01	12	800	501	39664	39664
ZBTB33	4.6990e-01	1	500	50	39664	39664
