FOXA1	5.1848e-18	107	1000	1027	23586	23586
FOXA2	1.1336e-15	100	1000	1001	23586	23586
FOSL2	5.9910e-05	21	210	902	23586	23586
BHLHE40	1.0266e-04	34	400	1000	23586	23586
USF2	3.1957e-04	44	600	1000	23586	23586
YY1	4.7428e-04	32	400	1000	23586	23586
MAX	1.7867e-03	6	240	125	23586	23586
JUND	1.8013e-03	6	86	351	23586	23586
NFE2L2	4.4094e-03	60	1000	1000	23586	23586
REST	9.9444e-03	58	1000	1000	23586	23586
GABPA	1.0793e-02	2	74	50	23586	23586
ELK1	1.3406e-02	2	74	56	23586	23586
ATF3	2.2970e-02	2	16	350	23586	23586
HNF4A	3.1504e-02	2	22	300	23586	23586
HNF4G	6.6622e-02	2	400	25	23586	23586
MAFK	6.8375e-02	4	52	701	23586	23586
CEBPB	8.7590e-02	10	240	600	23586	23586
ZBTB33	1.0922e-01	32	600	1000	23586	23586
CTCF	2.3510e-01	1	84	75	23586	23586
