HNF4A	2.5600e-11	46	1000	900	60659	60659
HNF4G	9.2247e-10	43	1000	901	60659	60659
REST	7.9212e-05	15	700	400	60659	60659
ELK1	5.0133e-02	3	240	208	60659	60659
USF2	7.7475e-02	3	400	150	60659	60659
YY1	9.5998e-02	3	66	1002	60659	60659
GABPA	1.2034e-01	3	240	304	60659	60659
JUND	1.4787e-01	1	24	403	60659	60659
MAFK	2.3264e-01	6	1000	250	60659	60659
MAX	2.7555e-01	1	250	78	60659	60659
CTCF	2.7849e-01	2	180	350	60659	60659
ATF3	3.8373e-01	10	900	592	60659	60659
FOXA2	4.1389e-01	4	220	902	60659	60659
CEBPB	4.2230e-01	1	1000	33	60659	60659
NFE2L2	4.6920e-01	1	85	450	60659	60659
BHLHE40	9.9990e+03	-1	-1	-1	60659	60659
FOSL2	9.9990e+03	-1	-1	-1	60659	60659
FOXA1	9.9990e+03	-1	-1	-1	60659	60659
ZBTB33	9.9990e+03	-1	-1	-1	60659	60659
