HNF4A	9.1568e-29	147	1000	1000	18115	18115
HNF4G	4.0051e-19	127	1000	1002	18115	18115
REST	2.8116e-07	29	400	450	18115	18115
GABPA	1.2446e-02	4	21	801	18115	18115
YY1	3.3528e-02	2	21	250	18115	18115
ATF3	4.8755e-02	4	500	50	18115	18115
FOSL2	7.0650e-02	2	9	902	18115	18115
CEBPB	7.4509e-02	6	300	177	18115	18115
ELK1	9.3545e-02	1	10	177	18115	18115
JUND	1.0465e-01	2	400	25	18115	18115
NFE2L2	1.2013e-01	2	31	350	18115	18115
BHLHE40	1.2035e-01	2	11	1000	18115	18115
MAX	1.2835e-01	12	300	500	18115	18115
USF2	1.5478e-01	1	10	302	18115	18115
ZBTB33	1.8151e-01	10	130	1000	18115	18115
FOXA2	2.1087e-01	1	6	701	18115	18115
FOXA1	2.8183e-01	7	96	1003	18115	18115
MAFK	3.0291e-01	2	400	50	18115	18115
CTCF	9.9990e+03	-1	-1	-1	18115	18115
