JUND	3.5624e-56	140	900	1000	31298	31298
FOSL2	9.5385e-53	143	1000	1000	31298	31298
NFE2L2	8.8883e-12	75	1000	1000	31298	31298
MAFK	1.3886e-04	54	1000	1000	31298	31298
ATF3	3.8266e-04	44	1000	800	31298	31298
MAX	3.2977e-03	3	10	1000	31298	31298
USF2	3.5656e-03	2	5	603	31298	31298
HNF4G	5.0207e-03	3	31	352	31298	31298
REST	3.2757e-02	6	1000	75	31298	31298
CTCF	4.8673e-02	3	170	150	31298	31298
FOXA2	5.9236e-02	17	500	700	31298	31298
YY1	7.4741e-02	1	3	800	31298	31298
FOXA1	7.5806e-02	2	110	129	31298	31298
BHLHE40	7.8563e-02	1	10	255	31298	31298
CEBPB	9.7383e-02	11	220	1002	31298	31298
ELK1	1.1764e-01	1	15	260	31298	31298
HNF4A	2.5361e-01	1	26	350	31298	31298
GABPA	3.8565e-01	1	15	1000	31298	31298
ZBTB33	5.0236e-01	2	700	75	31298	31298
