MAFK	1.7918e-46	124	1000	1001	37132	37132
FOSL2	2.0868e-19	69	1000	730	37132	37132
NFE2L2	2.4159e-15	75	1000	1003	37132	37132
JUND	2.0114e-11	55	700	1061	37132	37132
REST	1.3931e-03	16	500	500	37132	37132
USF2	3.6416e-02	3	77	350	37132	37132
BHLHE40	3.6520e-02	8	800	175	37132	37132
ELK1	5.1617e-02	1	2	971	37132	37132
YY1	6.3765e-02	2	61	250	37132	37132
CEBPB	6.9937e-02	1	84	32	37132	37132
MAX	9.3231e-02	9	800	250	37132	37132
ZBTB33	1.1627e-01	3	220	200	37132	37132
GABPA	1.4522e-01	19	600	900	37132	37132
FOXA1	1.7669e-01	1	48	150	37132	37132
CTCF	1.9424e-01	1	80	100	37132	37132
HNF4A	2.1776e-01	9	700	350	37132	37132
ATF3	2.6358e-01	1	19	593	37132	37132
FOXA2	2.7803e-01	1	48	251	37132	37132
HNF4G	3.6027e-01	2	900	52	37132	37132
