NFE2L2	2.3965e-145	333	1000	1000	13724	13724
MAFK	8.5527e-89	268	1000	1001	13724	13724
FOSL2	5.1986e-22	138	1000	810	13724	13724
ELK1	6.4406e-04	5	12	900	13724	13724
FOXA1	4.9251e-03	29	240	1000	13724	13724
JUND	6.8066e-03	77	800	1000	13724	13724
USF2	8.5742e-03	2	25	77	13724	13724
GABPA	8.6079e-03	2	8	250	13724	13724
ZBTB33	1.2330e-02	3	17	400	13724	13724
REST	1.8932e-02	74	1000	800	13724	13724
HNF4G	3.4618e-02	17	240	600	13724	13724
BHLHE40	4.3515e-02	2	6	800	13724	13724
CEBPB	9.4719e-02	2	69	103	13724	13724
HNF4A	1.0355e-01	2	150	50	13724	13724
YY1	1.0957e-01	36	400	1000	13724	13724
FOXA2	1.1219e-01	2	39	202	13724	13724
MAX	2.1889e-01	9	130	700	13724	13724
CTCF	2.2933e-01	8	200	400	13724	13724
ATF3	5.2295e-01	1	400	25	13724	13724
