BHLHE40	1.8320e-157	303	1000	850	15849	15849
USF2	3.6166e-77	226	900	1027	15849	15849
GABPA	1.7934e-19	110	1000	700	15849	15849
YY1	1.1902e-17	43	1000	150	15849	15849
ELK1	2.8242e-15	78	900	523	15849	15849
MAX	9.0973e-13	113	1000	902	15849	15849
ZBTB33	2.6770e-09	94	800	1000	15849	15849
ATF3	2.6920e-05	12	58	802	15849	15849
HNF4G	2.5757e-02	9	900	75	15849	15849
HNF4A	2.5995e-02	14	1000	125	15849	15849
CTCF	2.7307e-02	3	12	900	15849	15849
REST	6.3095e-02	1	1	1000	15849	15849
CEBPB	1.7317e-01	1	120	25	15849	15849
NFE2L2	2.8105e-01	6	400	175	15849	15849
MAFK	4.7907e-01	3	800	51	15849	15849
FOXA1	5.3221e-01	2	900	31	15849	15849
FOSL2	9.9990e+03	-1	-1	-1	15849	15849
FOXA2	9.9990e+03	-1	-1	-1	15849	15849
JUND	9.9990e+03	-1	-1	-1	15849	15849
