TF:	CEBPB
.	predicted Motif	score

1	HNF4G	0.0307686
2	GABPA	0.0319398
3	ELK1	0.0360915
4	HNF4A	0.0384706
5	CTCF	0.0406323
6	YY1	0.042241
7	ZBTB33	0.0464467
8	FOXA2	0.0470823
9	FOXA1	0.0474143
10	REST	0.0522941
11	USF2	0.06857
12	MAX	0.086202
13	BHLHE40	0.0863906
14	ATF3	0.0915636
15	CEBPB	0.0934561
16	MAFK	0.0996599
17	FOSL2	0.105219
18	NFE2L2	0.106421
19	JUND	0.116831

TF:	JUND
.	predicted Motif	score

1	HNF4G	0.0307686
2	GABPA	0.0319398
3	ELK1	0.0360915
4	HNF4A	0.0384706
5	CTCF	0.0406323
6	YY1	0.042241
7	ZBTB33	0.0464467
8	FOXA2	0.0470823
9	FOXA1	0.0474143
10	REST	0.0522941
11	USF2	0.06857
12	MAX	0.086202
13	BHLHE40	0.0863906
14	ATF3	0.0915636
15	CEBPB	0.0934561
16	MAFK	0.0996599
17	FOSL2	0.105219
18	NFE2L2	0.106421
19	JUND	0.116831

TF:	NFE2L2
.	predicted Motif	score

1	HNF4G	0.0307686
2	GABPA	0.0319398
3	ELK1	0.0360915
4	HNF4A	0.0384706
5	CTCF	0.0406323
6	YY1	0.042241
7	ZBTB33	0.0464467
8	FOXA2	0.0470823
9	FOXA1	0.0474143
10	REST	0.0522941
11	USF2	0.06857
12	MAX	0.086202
13	BHLHE40	0.0863906
14	ATF3	0.0915636
15	CEBPB	0.0934561
16	MAFK	0.0996599
17	FOSL2	0.105219
18	NFE2L2	0.106421
19	JUND	0.116831

TF:	CTCF
.	predicted Motif	score

1	NFE2L2	0.0445183
2	HNF4A	0.0477435
3	FOSL2	0.0485647
4	FOXA1	0.0488528
5	FOXA2	0.0499934
6	HNF4G	0.0505811
7	MAX	0.0522063
8	CEBPB	0.0540036
9	ATF3	0.0560166
10	JUND	0.0563766
11	MAFK	0.0566893
12	USF2	0.0573576
13	BHLHE40	0.0595876
14	ELK1	0.0599699
15	GABPA	0.0691973
16	YY1	0.094915
17	CTCF	0.0963428
18	ZBTB33	0.0977236
19	REST	0.119217

TF:	FOXA1
.	predicted Motif	score

1	JUND	0.023937
2	USF2	0.026251
3	ELK1	0.0282516
4	REST	0.029725
5	BHLHE40	0.031662
6	GABPA	0.0343475
7	HNF4G	0.0353459
8	MAX	0.0357749
9	NFE2L2	0.0380877
10	HNF4A	0.0384431
11	CTCF	0.0436624
12	ATF3	0.0440308
13	FOSL2	0.0449291
14	CEBPB	0.0494409
15	MAFK	0.0506814
16	YY1	0.0586297
17	ZBTB33	0.0668716
18	FOXA2	0.0914552
19	FOXA1	0.095888

TF:	FOXA2
.	predicted Motif	score

1	JUND	0.023937
2	USF2	0.026251
3	ELK1	0.0282516
4	REST	0.029725
5	BHLHE40	0.031662
6	GABPA	0.0343475
7	HNF4G	0.0353459
8	MAX	0.0357749
9	NFE2L2	0.0380877
10	HNF4A	0.0384431
11	CTCF	0.0436624
12	ATF3	0.0440308
13	FOSL2	0.0449291
14	CEBPB	0.0494409
15	MAFK	0.0506814
16	YY1	0.0586297
17	ZBTB33	0.0668716
18	FOXA2	0.0914552
19	FOXA1	0.095888

TF:	MAFK
.	predicted Motif	score

1	HNF4G	0.0307686
2	GABPA	0.0319398
3	ELK1	0.0360915
4	HNF4A	0.0384706
5	CTCF	0.0406323
6	YY1	0.042241
7	ZBTB33	0.0464467
8	FOXA2	0.0470823
9	FOXA1	0.0474143
10	REST	0.0522941
11	USF2	0.06857
12	MAX	0.086202
13	BHLHE40	0.0863906
14	ATF3	0.0915636
15	CEBPB	0.0934561
16	MAFK	0.0996599
17	FOSL2	0.105219
18	NFE2L2	0.106421
19	JUND	0.116831

TF:	REST
.	predicted Motif	score

1	NFE2L2	0.0445183
2	HNF4A	0.0477435
3	FOSL2	0.0485647
4	FOXA1	0.0488528
5	FOXA2	0.0499934
6	HNF4G	0.0505811
