TF:	CEBPB
.	predicted motif	score	p-value

1	CEBPB	1494.53564506	0.0
2	ATF3	355.981938364	0.0
3	NFE2L2	149.939043696	0.0
4	FOSL2	79.5700040764	0.0
5	JUND	71.7717000858	2.22044604925e-16
6	MAFK	37.4707829776	7.30000004889e-09
7	BHLHE40	33.9677905916	4.20714995064e-08
8	MAX	33.0204489386	6.75617076729e-08
9	ELK1	14.1723571793	0.00083658821179
10	USF2	8.98368300136	0.0112
11	ZBTB33	4.57666882831	0.101435270383
12	REST	4.34938136669	0.1136433
13	FOXA1	1.84280756252	0.39796
14	FOXA2	1.77803217948	0.41106
15	YY1	0.944524355695	0.62359
16	CTCF	0.723403686734	0.69649
17	HNF4A	0.536866648017	0.7645764
18	GABPA	0.103449932984	0.94959
19	HNF4G	0.0715030754143	0.96488

TF:	FOXA2
.	predicted motif	score	p-value

1	FOXA1	1503.84303667	0.0
2	FOXA2	1493.06819183	0.0
3	CEBPB	21.637613513	2.001944e-05
4	FOSL2	10.7931360663	0.00453210832815
5	ZBTB33	10.1344112912	0.0063
6	YY1	8.94355260564	0.011427
7	MAFK	3.52634402475	0.1715
8	JUND	3.22912202627	0.198978
9	MAX	3.13131770868	0.2089503
10	BHLHE40	2.9877819472	0.224497440311
11	NFE2L2	2.24707265607	0.325128
12	ATF3	1.83595230279	0.3993264
13	CTCF	1.73943461715	0.41907
14	HNF4A	1.22176048127	0.5428728
15	HNF4G	0.865184488495	0.648825
16	ELK1	0.837156623147	0.6579816
17	USF2	0.551506039498	0.759000365715
18	GABPA	0.378354003502	0.82764
19	REST	0.109884096529	0.94654

TF:	YY1
.	predicted motif	score	p-value

1	YY1	1079.59409215	0.0
2	GABPA	89.6598084802	0.0
3	ZBTB33	44.0862627733	2.67171174073e-10
4	ELK1	38.1989798338	5.07220643264e-09
5	CEBPB	36.1444243609	1.41689600053e-08
6	HNF4A	28.447650645	6.64769600034e-07
7	REST	23.1709923156	9.29999999999e-06
8	CTCF	23.0258509299	9.99999999995e-06
9	BHLHE40	12.5339291814	0.00189798099753
10	HNF4G	12.4534261377	0.001975936
11	USF2	10.5255231978	0.00518097716355
12	ATF3	9.13654141612	0.0103758871503
13	JUND	3.42058939249	0.1808125
14	MAFK	2.31405121444	0.31442
15	FOXA2	1.58481711213	0.452753
16	MAX	1.25120137582	0.53494
17	FOXA1	0.942450029667	0.6242371
18	FOSL2	0.669687127259	0.71545
19	NFE2L2	0.264846870415	0.87597

TF:	FOS
.	predicted motif	score	p-value

1	FOSL2	1527.79904414	0.0
2	JUND	1486.32997754	0.0
3	NFE2L2	1472.64300159	0.0
4	ATF3	1272.25934361	0.0
5	MAFK	298.274805587	0.0
6	GABPA	67.8654557543	1.88737914186e-15
7	ELK1	36.3335892506	1.28902499785e-08
8	BHLHE40	29.1944506559	4.5762062395e-07
9	CEBPB	23.8568818179	6.59999999997e-06
10	MAX	23.0662563446	9.79999999995e-06
11	USF2	13.9615123437	0.0009296
12	REST	3.0430976748	0.2183734
13	CTCF	2.7667061818	0.2507364
14	ZBTB33	2.48969793396	0.2879844
15	FOXA1	1.84280756252	0.39796
16	FOXA2	1.77803217948	0.41106
17	YY1	0.944524355695	0.62359
18	HNF4A	0.496461233382	0.78018
19	HNF4G	0.216644461084	0.8973384

TF:	BHLHE40
.	predicted motif	score	p-value

1	BHLHE40	1581.12184693	0.0
2	MAX	1455.67725812	0.0
3	USF2	970.464921332	0.0
4	FOSL2	126.251821474	0.0
5	JUND	121.52800898	0.0
6	ATF3	105.092251436	0.0
7	ZBTB33	103.881503663	0.0
8	NFE2L2	43.7863598928	3.10393599712e-10
9	GABPA	25.760137838	2.54833865487e-06
10	ELK1	15.9991420418	0.000335606565235
11	HNF4A	10.5181933068	0.0052
12	HNF4G	10.1858610736	0.00614
13	MAFK	5.17721708345	0.0751245
14	CTCF	4.96717104572	0.0834435
15	REST	2.68111293889	0.2617
16	YY1	2.58560803607	0.2745
17	FOXA2	1.14292132461	0.5647
18	FOXA1	0.785344572619	0.67525
19	CEBPB	0.783381227101	0.6759132

TF:	FOXA1
.	predicted motif	score	p-value

1	FOXA2	1515.10175206	0.0
2	FOXA1	1497.30831752	0.0
3	CEBPB	15.0810150223	0.000531128
4	ZBTB33	10.1344112912	0.0063
5	YY1	7.48177758855	0.023733
6	MAFK	3.52634402475	0.1715
7	USF2	3.49906788187	0.173854951248
8	FOSL2	2.03833866008	0.3608946
9	CTCF	1.82107860619	0.4023072
10	ATF3	1.81585163109	0.40336
11	MAX	0.898612266878	0.638070734003
12	HNF4G	0.889724673679	0.6409125
13	NFE2L2	0.84005272088	0.6570295
14	HNF4A	0.82485860382	0.66204
15	GABPA	0.378354003502	0.82764
16	BHLHE40	0.196858076783	0.90626
17	ELK1	0.147475650564	0.9289152
18	REST	0.109884096529	0.94654
19	JUND	0.0102462013975	0.99489

TF:	HNF4G
.	predicted motif	score	p-value

1	HNF4G	706.442526209	0.0
2	HNF4A	539.318991077	0.0
3	REST	27.877619049	8.83999336843e-07
4	FOXA2	6.6233313667	0.0364554
5	FOXA1	5.62706144792	0.0599928
6	ATF3	5.12919883739	0.07695
7	CTCF	5.11082990936	0.07766
8	JUND	4.68389963303	0.09614
9	NFE2L2	4.520392653	0.10433
10	FOSL2	4.16446205737	0.1246518
11	MAFK	3.40716754065	0.18203
12	USF2	3.05111285691	0.2175
13	BHLHE40	2.78937900382	0.24791
14	CEBPB	1.63493074784	0.4415494
15	GABPA	1.23964474428	0.53804
16	ZBTB33	1.19180973705	0.5510637
17	MAX	1.13466214872	0.5670368
18	YY1	0.761291348583	0.68342
19	ELK1	0.581667400568	0.74764

TF:	HNF4A
.	predicted motif	score	p-value

1	HNF4G	1465.84936838	0.0
2	HNF4A	1431.78504758	0.0
3	CEBPB	71.0426430384	3.33066907388e-16
4	FOXA2	20.1625412477	4.18562e-05
5	REST	15.3694917448	0.000459787619229
6	FOXA1	11.618525995	0.00299964
7	JUND	11.4466891418	0.00326876
8	MAX	10.3678599123	0.005605932
9	NFE2L2	5.75276493185	0.0563382
10	ATF3	5.12919883739	0.07695
11	CTCF	5.11082990936	0.07766
12	FOSL2	4.80687158635	0.0904068
13	MAFK	3.40716754065	0.18203
14	BHLHE40	3.39158918938	0.1834534
15	USF2	3.05111285691	0.2175
16	ELK1	2.04960575073	0.3588672
17	GABPA	1.25974541599	0.5326596
18	ZBTB33	1.17170906534	0.55663
19	YY1	0.761291348583	0.68342

TF:	JUND
.	predicted motif	score	p-value

