TF:	REST
.	predicted motif	score	p-value

1	REST	33.3604291382	5.70000000533e-08
2	TAL1::TCF3	23.0258509299	9.99999999995e-06
3	AHR::ARNT	4.70250052995	0.09525
4	HAND1::TCF3	3.81865505599	0.14818
5	DDIT3::CEBPA	3.67421337429	0.1592776
6	FOS::JUN	3.57852677407	0.1670832
7	RXRA::VDR	2.46563638888	0.29147
8	LEF1	1.57874355663	0.45413
9	ARNT	1.04991671069	0.59158
10	MAFG::NFE2L1	0.962040499968	0.6181524
11	NR1H2::RXRA	0.451418680274	0.79795

TF:	ARNT
.	predicted motif	score	p-value

1	LEF1	27.7336077047	9.5e-07
2	TAL1::TCF3	24.9908351328	3.74376949996e-06
3	ARNT	23.1284375187	9.5e-06
4	AHR::ARNT	23.0459516016	9.90000000001e-06
5	HAND1::TCF3	18.4407814157	9.9e-05
6	NR1H2::RXRA	15.8040151047	0.00037
7	RXRA::VDR	11.0020641328	0.00408255579478
8	DDIT3::CEBPA	5.9023401646	0.0522785
9	REST	3.95086948376	0.138701
10	FOS::JUN	2.79639842441	0.247041432821
11	MAFG::NFE2L1	2.32630161961	0.3125

