SEQID	ATF3	GABPA	BHLHE40	CEBPB	CTCF	ELK1	FOSL2	FOXA1	FOXA2	HNF4A	HNF4G	JUND	MAFK	MAX	NFE2L2	REST	USF2	YY1	ZBTB33
5:119399451-119399551	2.177e-09	1.246e-09	1.885e-12	1.263e-06	1.966e-13	5.532e-11	1.562e-09	5.876e-11	4.193e-08	2.649e-18	8.821e-07	1.905e-16	1.361e-08	9.601e-13	2.858e-10	3.559e-20	5.57e-17	1.442e-12	5.607e-11
4:102430966-102431066	1.472e-09	1.426e-09	4.27e-13	1.285e-08	1.335e-16	8.19e-11	2.64e-09	4.46e-13	1.367e-09	1.583e-17	1.295e-07	5.726e-10	1.882e-09	3.026e-11	1.479e-11	1.965e-20	1.344e-19	1.323e-14	1.446e-13
19:18275056-18275156	6.976e-12	6.018e-08	7.671e-11	1.591e-10	5.333e-09	1.103e-10	2.93e-13	3.952e-13	6.708e-11	1.176e-18	2.184e-08	6.297e-18	3.389e-12	4.859e-11	1.501e-11	1.362e-16	1.081e-12	6.616e-12	2.545e-11
7:149028156-149028256	5.357e-11	2.61e-05	1.171e-10	6.236e-15	4.21e-09	4.687e-08	2.971e-16	1.685e-12	5.464e-10	4.836e-18	3.995e-08	4.886e-20	2.699e-09	2.379e-08	1.131e-13	1.546e-15	2.024e-14	5.906e-10	5.631e-08
6:135251738-135251838	1.483e-08	3.255e-10	3.015e-13	6.974e-09	6.046e-10	7.387e-10	1.845e-13	9.35e-12	2.794e-08	1.046e-13	3.164e-07	2.692e-19	6.121e-16	3.208e-11	1.084e-08	1.476e-19	3.801e-16	7.062e-11	1.241e-11
12:39825162-39825262	2.875e-10	6.169e-11	4.108e-11	1.127e-07	3.682e-14	3.127e-11	6.777e-07	2.287e-11	1.06e-08	9.211e-14	2.408e-09	4.416e-07	8.957e-09	2.137e-09	3.599e-09	5.239e-20	3.273e-11	2.364e-11	1.438e-12
15:67840228-67840328	3.133e-10	9.04e-06	2.039e-08	3.374e-11	6.042e-13	3.631e-09	1.06e-10	0.00017	2.367e-05	2.992e-19	5.469e-10	4.269e-13	3.806e-13	2.541e-08	3.691e-14	1.425e-13	4.352e-15	2.666e-10	1.475e-08
M:12947-13047	3.28e-09	6.732e-12	2.7e-10	5.837e-12	9.11e-10	1.201e-13	1.641e-08	1.793e-13	4.518e-12	6.799e-18	2.872e-10	5.325e-11	8.473e-08	3.905e-12	6.135e-12	1.671e-16	9.414e-16	5.334e-15	2.214e-12
15:76310920-76311020	1.96e-05	2.199e-08	3.01e-09	9.384e-08	8.862e-09	1.006e-09	8.3e-16	5.002e-14	9.083e-11	4.321e-17	1.359e-08	1.363e-19	9.378e-16	2.862e-07	1.023e-13	1.146e-15	5.188e-11	1.42e-09	5.7e-09
1:219955301-219955401	2.457e-08	1.463e-06	2.195e-07	7.01e-11	3.002e-11	4.335e-09	2.543e-11	4.76e-12	1.002e-09	1.04e-17	1.036e-08	1.45e-13	5.398e-11	1.506e-07	1.201e-11	2.205e-19	2.422e-07	3.541e-11	8.43e-11
13:112929380-112929480	3.379e-10	1.321e-05	5.059e-12	3.333e-10	1.941e-07	2.921e-09	1.867e-13	4.423e-11	2.135e-09	1.213e-16	1.791e-06	2.257e-19	3.245e-12	3.594e-11	6.34e-13	1.118e-14	4.396e-16	2.633e-09	3.431e-11
18:46097777-46097877	1.817e-08	4.248e-09	3.189e-10	5.631e-13	2.175e-11	4.249e-11	1.422e-12	2.973e-14	1.187e-11	2.086e-20	2.838e-10	1.144e-13	4.422e-12	1.344e-10	1.209e-12	1.083e-17	3.195e-15	5.154e-15	5.922e-11
7:139266028-139266128	1.162e-07	1.672e-13	2.773e-12	2.654e-10	3.523e-13	8.145e-14	4.189e-15	4.63e-11	3.177e-08	2.797e-20	3.929e-10	1.29e-17	6.882e-10	6.814e-10	4.912e-12	6.509e-22	3.067e-12	6.227e-13	4.798e-13
3:176106720-176106820	1.619e-09	2.037e-11	7.691e-13	4.306e-08	6.066e-14	3.904e-14	2.411e-10	1.875e-10	2.133e-08	9.762e-17	1.487e-07	1.247e-13	1.911e-09	1.233e-08	1.16e-11	1.099e-21	1.234e-15	9.831e-11	5.718e-13
2:73001444-73001544	1.832e-10	3.414e-08	5.58e-09	1.193e-11	7.66e-11	1.444e-10	6.453e-11	7.776e-08	1.214e-07	1.064e-18	1.068e-09	1.4e-15	6.247e-09	4.909e-07	2.004e-11	2.152e-15	4.219e-09	1.754e-10	1.756e-10
13:21177055-21177155	3.565e-09	6.231e-08	7e-10	4.826e-12	3.382e-11	5.174e-10	9.123e-13	5.436e-16	1.18e-11	3.347e-19	1.44e-09	7.51e-18	1.163e-13	3.102e-09	1.624e-08	1.48e-16	1.891e-12	1.851e-10	3.739e-10
14:89229183-89229283	5.526e-06	4.226e-09	8.382e-10	1.12e-06	3.883e-14	1.174e-09	5.952e-11	1.446e-09	4.117e-08	2.926e-18	2.087e-08	1.204e-11	1.446e-11	3.438e-09	1.157e-12	1.121e-15	1.178e-11	1.018e-10	9.211e-13
8:29427070-29427170	5.81e-10	1.656e-11	1.386e-09	2.204e-10	3.387e-13	8.704e-12	1.335e-13	8.856e-06	3.862e-06	6.129e-18	3.178e-09	1.317e-15	1.837e-12	9.227e-09	7.468e-12	9.153e-15	2.031e-09	3.472e-10	5.353e-11
11:93741642-93741742	7.177e-10	1.696e-09	6.964e-09	4.946e-10	5.848e-14	5.65e-08	5.06e-16	4.714e-10	2.131e-09	2.028e-19	4.206e-09	1.262e-19	1.764e-12	3.364e-09	3.857e-12	2.647e-16	9.73e-13	1.217e-12	8.004e-09
1:32934250-32934350	0.0001213	5.864e-07	1.874e-11	4.403e-12	2.27e-12	4.619e-10	1.954e-13	2.638e-09	5.783e-07	8.081e-15	3.353e-08	7.124e-16	8.157e-10	5.821e-09	3.638e-13	1.657e-19	1.011e-09	1.236e-12	1.428e-14
