SEQID	YY1	CTCF	ZBTB33	REST
2:63589189-63589289	1.268e-11	6.336e-09	4.737e-10	5.91e-15
11:114198193-114198293	2.047e-09	8.785e-14	4.477e-09	3.086e-18
17:7484513-7484613	9.523e-12	1.905e-10	9.135e-13	7.154e-19
5:173767721-173767821	4.237e-09	2.477e-11	1.94e-13	3.023e-14
1:236019227-236019327	2.159e-07	1.519e-10	3.337e-11	7.708e-18
11:116773157-116773257	3.261e-10	2.061e-10	1.755e-12	5.772e-19
11:121479081-121479181	1.619e-12	5.147e-10	8.073e-13	1.92e-18
1:29137007-29137107	4.892e-11	1.245e-12	4.692e-14	1.2e-19
3:52198471-52198571	3.698e-10	6.934e-09	2.106e-08	2.446e-19
4:73419233-73419333	2.318e-19	6.934e-09	6.875e-15	2.446e-19
6:99394129-99394229	2.439e-13	1.783e-10	8.376e-08	2.639e-18
19:13061574-13061674	8.748e-11	5.358e-12	5.059e-11	3.698e-13
17:77354937-77355037	8.748e-11	5.358e-12	5.059e-11	3.698e-13
7:197747-197847	6.498e-15	9.942e-12	1.189e-10	5.707e-14
1:119729367-119729467	5.671e-13	4.51e-13	4.991e-13	4.254e-14
1:212858295-212858395	1.362e-14	2.845e-11	1.925e-09	1.008e-16
2:197500145-197500245	5.873e-12	1.283e-11	1.047e-09	1.868e-14
12:53676570-53676670	4.845e-11	8.189e-08	2.016e-09	5.071e-17
5:140546793-140546893	9.547e-10	4.718e-14	1.1e-11	8.019e-17
1:45303817-45303917	3.129e-14	1.525e-09	6.564e-09	2.043e-15
9:96009795-96009895	1.238e-12	6.669e-10	3.426e-10	1.843e-17
4:99305885-99305985	6.539e-11	2.142e-11	1.133e-09	1.478e-16
2:99155239-99155339	1.343e-09	4.317e-09	5.667e-11	1.659e-16
12:89357641-89357741	8.674e-10	1.217e-10	1.265e-11	1.299e-18
14:81534133-81534233	2.217e-09	1.892e-12	5.287e-10	1.024e-16
17:45161278-45161378	7.324e-13	3.902e-14	1.883e-11	4.488e-17
X:131792764-131792864	9.618e-07	9.48e-11	2.241e-09	1.212e-15
10:74177702-74177802	5.588e-12	4.427e-14	2.643e-12	8.886e-15
19:51367815-51367915	4.2e-11	1.608e-10	5.829e-11	8.486e-17
10:79927553-79927653	3.343e-09	4.302e-12	1.367e-12	1.745e-15
2:42191523-42191623	2.77e-07	1.248e-05	2.839e-13	3.552e-16
17:50861964-50862064	5.48e-10	3.064e-08	2.187e-13	1.576e-16
11:92141394-92141494	1.622e-12	5.944e-11	1.202e-12	7.814e-16
7:95550489-95550589	5.263e-14	9.349e-14	1.436e-08	1.485e-18
3:170984498-170984598	5.263e-14	9.349e-14	1.436e-08	1.485e-18
1:234975569-234975669	2.259e-07	2.473e-11	2.063e-12	1.678e-16
14:94580998-94581098	5.014e-11	2.751e-10	2.468e-12	3.094e-13
4:124713158-124713258	3.81e-10	1.421e-12	2.877e-12	3.437e-18
1:234373587-234373687	9.857e-15	5.372e-09	1.342e-10	2.062e-17
9:101417098-101417198	2.368e-11	3.951e-12	1.428e-12	1.223e-18
3:15606795-15606895	2.237e-16	1.329e-13	6.506e-16	2.345e-22
14:68796511-68796611	1.045e-17	5.324e-17	6.016e-16	3.347e-21
18:3448576-3448676	1.524e-09	1.274e-12	1.254e-11	8.142e-20
12:68808888-68808988	2.619e-14	7.551e-12	3.217e-11	2.254e-18
4:48780831-48780931	5.585e-10	1.112e-13	2.504e-09	8.967e-20
4:73409740-73409840	4.536e-13	4.109e-10	1.5e-09	1.147e-16
17:63742185-63742285	1.418e-10	1.113e-11	1.039e-09	5.033e-18
19:58327252-58327352	4.956e-15	1.288e-11	4.396e-11	4.248e-20
16:4425965-4426065	3.551e-09	2.421e-07	4.936e-09	1.073e-17
9:2844365-2844465	1.221e-12	1.514e-13	8.533e-11	7.888e-16
11:78080073-78080173	2.861e-11	3.155e-08	9.496e-12	1.704e-18
16:56625584-56625684	1.166e-11	1.735e-11	3.523e-06	2.543e-14
17:5419528-5419628	8.04e-13	6.693e-12	1.131e-09	3.77e-17
10:63719497-63719597	2.026e-09	6.536e-17	6.118e-13	9.98e-20
7:5558226-5558326	1.405e-12	1.436e-08	9.421e-11	1.388e-18
3:186784178-186784278	1.075e-12	7.108e-12	0.009678	9.568e-19
3:144229454-144229554	3.175e-11	6.153e-11	3.479e-12	6.43e-18
4:154618137-154618237	9.508e-13	3.203e-12	2.861e-12	2.191e-16
11:65439399-65439499	9.508e-13	3.203e-12	2.861e-12	2.191e-16
8:95269799-95269899	7.952e-11	8.634e-14	3.372e-12	3.157e-20
2:64730939-64731039	1.686e-11	2.33e-14	3.321e-13	1.037e-19
5:157300990-157301090	2.966e-10	1.307e-15	3.617e-10	9.076e-16
12:56360493-56360593	1.12e-11	6.799e-12	3.18e-11	9.152e-17
5:172772568-172772668	1.634e-12	5.834e-10	1.431e-11	8.184e-16
19:7069608-7069708	7.572e-13	9.826e-14	1.629e-12	8.395e-17
17:16439089-16439189	3.504e-12	3.445e-12	1.14e-09	8.006e-16
9:130598533-130598633	8.424e-12	1.574e-14	7.762e-15	3.737e-19
9:133509899-133509999	1.829e-12	1.269e-12	1.086e-11	1.015e-11
16:66552656-66552756	4.435e-10	5.537e-13	6.115e-10	2.481e-16
1:8014424-8014524	5.233e-13	8.662e-12	7.595e-12	4.185e-16
16:29790655-29790755	5.719e-14	9.086e-12	3.976e-11	7.978e-13
16:22297273-22297373	1.628e-11	9.588e-05	1.213e-09	9.41e-17
10:35090819-35090919	6.627e-11	1.001e-11	9.13e-13	2.163e-16
9:101417985-101418085	7.083e-08	4.014e-11	3.432e-12	2.155e-16
9:134321251-134321351	6.828e-10	2.304e-10	1.537e-09	1.512e-15
17:40101202-40101302	3.292e-10	1.139e-07	9.356e-13	6.417e-17
8:17896254-17896354	2.541e-13	1.23e-09	3.198e-11	4.285e-18
7:100429032-100429132	1.733e-12	1.351e-11	2.966e-09	1.97e-19
2:189784785-189784885	2.894e-13	1.471e-10	7.987e-12	2.008e-17
10:102152328-102152428	5.335e-06	1.814e-11	2.966e-12	1.738e-16
16:79897994-79898094	1.18e-09	6.953e-15	6.801e-14	3.064e-15
19:14518926-14519026	6.047e-17	3.4e-14	1.045e-13	1.083e-23
4:155778650-155778750	4.949e-12	2.871e-17	8.332e-18	1.493e-25
12:118373348-118373448	6.54e-09	4.036e-14	6.759e-14	5.742e-19
14:96739823-96739923	4.197e-10	4.693e-09	7.397e-13	9.572e-13
18:58455527-58455627	3.969e-14	9.182e-13	2.474e-10	2.08e-21
6:3841550-3841650	1.217e-12	5.187e-13	2.53e-13	5.348e-17
8:102600559-102600659	3.641e-11	7.077e-13	1.126e-10	2.269e-16
12:9077462-9077562	1.119e-10	5.55e-12	5.928e-12	3.346e-15
2:21003052-21003152	4.842e-12	1.874e-13	2.479e-11	6.054e-15
5:150616318-150616418	8.51e-17	9.643e-23	5.394e-12	6.054e-15
M:6607-6707	2.792e-08	1.247e-13	7.315e-14	3.74e-18
12:48789326-48789426	1.048e-13	3.264e-11	5.189e-06	1.463e-16
4:76207879-76207979	2.029e-07	1.427e-11	7.328e-15	6.268e-17
9:131373579-131373679	7.926e-10	3.238e-12	6.538e-10	1.129e-18
1:28259085-28259185	7.034e-10	9.564e-14	6.218e-09	3.101e-15
3:136752765-136752865	8.329e-14	7.467e-10	3.518e-09	3.172e-13
9:108894631-108894731	1.472e-12	4.478e-14	1.579e-11	9.481e-13
2:1997997-1998097	1.402e-11	8.604e-13	4.236e-13	3.338e-20
19:2524619-2524719	1.233e-14	5.607e-16	4.487e-14	1.377e-20
1:67054310-67054410	2.781e-14	6.481e-09	1.388e-10	1.176e-16
17:17591983-17592083	3.274e-14	2.444e-10	1.174e-06	5.71e-17
15:57377236-57377336	1.531e-12	9.631e-13	7.131e-09	1.205e-16
14:76919383-76919483	4.226e-08	1.463e-11	3.418e-12	9.456e-17
9:109814174-109814274	6.448e-10	2.96e-10	1.79e-13	2.315e-16
1:21624020-21624120	3.574e-14	8.491e-12	1.078e-11	3.297e-18
7:17239958-17240058	2.002e-14	1.763e-12	2.427e-13	1.712e-18
16:58129692-58129792	5.326e-14	3.872e-12	2.739e-06	7.484e-18
6:28944703-28944803	5.474e-11	3.019e-13	7.743e-14	1.33e-18
17:11705541-11705641	5.474e-11	3.019e-13	7.743e-14	1.33e-18
20:63865198-63865298	2.079e-13	6.207e-13	7.321e-10	9.581e-17
1:8644021-8644121	7.102e-12	3.51e-15	1.027e-10	2.027e-18
17:44503733-44503833	4.788e-09	2.612e-15	5.69e-09	1.858e-14
18:11980737-11980837	1.075e-15	2.366e-11	6.193e-11	7.969e-17
11:120185581-120185681	2.483e-07	4.144e-13	6.863e-12	9.867e-17
1:58784260-58784360	5.691e-10	5.704e-10	2.183e-10	6.729e-18
19:38374739-38374839	0.008635	1.186e-08	4.986e-09	6.695e-16
X:131822651-131822751	1.897e-12	1.659e-11	8.096e-08	1.801e-17
17:6683389-6683489	1.975e-14	1.659e-11	2.185e-17	1.801e-17
7:99653930-99654030	3.13e-08	4.228e-13	6.18e-09	2.232e-16
X:54530412-54530512	1.627e-12	4.153e-12	7.161e-07	1.573e-17
4:76309794-76309894	5.989e-08	1.109e-12	3.735e-12	5.04e-16
2:23610-23710	6.231e-09	1.735e-13	5.225e-13	6.505e-17
5:42799360-42799460	5.955e-13	2.187e-12	1.955e-11	5.668e-18
19:5690426-5690526	5.081e-09	9.866e-14	5.959e-10	2.772e-12
19:54464076-54464176	3.038e-15	7.705e-10	1.002e-08	2.066e-18
17:59367300-59367400	3.553e-12	3.128e-12	3.069e-11	6.069e-14
18:24113449-24113549	1.058e-10	1.509e-08	2.957e-10	6.554e-17
2:156334138-156334238	1.758e-10	3.708e-13	7.795e-10	2.614e-16
9:76394988-76395088	5.292e-10	1.175e-06	1.546e-12	1.176e-13
