SEQID	USF2	MAX	BHLHE40
10:80154895-80154995	1.802e-08	1.94e-07	2.568e-08
7:1533648-1533748	3.417e-08	4.387e-06	1.408e-06
14:61252544-61252644	7.963e-16	4.924e-12	2.236e-14
10:5890031-5890131	6.65e-16	6.056e-09	1.074e-09
2:100733786-100733886	2.723e-05	0.0005352	4.921e-05
9:127131605-127131705	2.723e-05	0.0005352	4.921e-05
2:43227367-43227467	8.154e-16	8.414e-10	5.037e-08
11:68355019-68355119	6.279e-12	2.833e-10	3.007e-11
17:80531721-80531821	5.56e-15	2.363e-10	3.598e-09
11:18013213-18013313	2.349e-11	5.941e-10	5.445e-12
2:232550702-232550802	4.155e-10	3.612e-06	1.178e-06
20:59031959-59032059	3.455e-12	2.602e-06	9.152e-08
21:46121663-46121763	1.137e-10	7.109e-08	6.187e-09
19:47600858-47600958	7.833e-13	5.523e-10	8.672e-11
13:76992138-76992238	5.881e-15	3.916e-08	5.116e-08
10:102854052-102854152	4.915e-14	9.682e-09	9.496e-11
5:181223374-181223474	6.456e-12	3.342e-09	1.911e-11
10:785047-785147	4.233e-10	3.268e-06	3.125e-06
16:50066285-50066385	5.471e-13	1.47e-06	2.549e-06
2:9423740-9423840	4.901e-12	4.178e-10	3.931e-12
20:50113388-50113488	8.114e-17	2.866e-11	3.386e-11
20:44209182-44209282	2.855e-17	3.085e-11	8.899e-13
7:229642-229742	5.358e-15	2.673e-09	8.436e-10
2:33070095-33070195	1.08e-12	3.754e-09	1.479e-11
10:110353502-110353602	1.177e-15	1.939e-09	5.811e-12
16:31094907-31095007	5.99e-12	2.711e-07	2.382e-07
M:5996-6096	2.95e-12	1.268e-08	9.82e-10
2:127064958-127065058	1.063e-11	5.553e-07	1.562e-06
4:186845435-186845535	1.167e-10	6.517e-09	3.024e-09
2:30240713-30240813	9.3e-15	1.808e-10	9.461e-12
11:22626233-22626333	1.322e-15	3.785e-08	2.614e-11
2:20149647-20149747	4.164e-16	1.299e-10	1.484e-11
10:102055773-102055873	2.953e-09	5.209e-07	3.321e-07
1:212486133-212486233	5.484e-14	1.779e-08	1.703e-11
X:101052167-101052267	3.242e-15	1.388e-10	3.811e-12
16:21555197-21555297	4.491e-14	7.592e-10	1.282e-11
9:3526024-3526124	5.507e-10	1.579e-06	1.547e-07
X:41334795-41334895	1.749e-12	1.749e-10	1.934e-08
17:80415341-80415441	5.251e-16	4.036e-10	1.926e-08
19:33373804-33373904	3.468e-11	3.684e-08	1.914e-08
9:35815632-35815732	7.492e-15	6.383e-09	9.155e-10
11:62787455-62787555	2.447e-09	1.762e-07	1.419e-09
3:4980037-4980137	5.231e-17	1.849e-08	1.081e-08
7:88220296-88220396	2.301e-11	6.754e-09	2.368e-09
7:143288248-143288348	4.768e-13	6.164e-08	5.442e-10
5:369425-369525	2.339e-05	2.458e-05	1.697e-06
11:70270750-70270850	2.791e-16	4.224e-12	1.844e-11
10:79159453-79159553	1.322e-15	5.64e-12	2.02e-11
12:31326368-31326468	2.176e-11	6.452e-11	1.619e-10
11:72813960-72814060	9.858e-13	9.547e-10	6.18e-10
15:67067079-67067179	1.129e-15	1.466e-09	1.706e-10
6:42316221-42316321	5.437e-14	3.924e-11	5.203e-12
22:30243268-30243368	3.768e-10	3.929e-08	4.381e-10
1:1399612-1399712	1.148e-11	4.598e-07	1.544e-08
1:21262038-21262138	1.826e-15	2.073e-11	1.22e-12
17:3888757-3888857	9.73e-11	1.148e-05	3.068e-08
11:65424173-65424273	3.456e-13	4.515e-09	3.868e-10
1:37476757-37476857	1.29e-11	5.506e-10	1.23e-11
5:177497820-177497920	2.382e-16	3.949e-11	9.483e-13
5:36152063-36152163	3.124e-16	2.326e-09	4.267e-09
1:26279658-26279758	3.879e-10	7.122e-07	7.161e-08
2:237403363-237403463	2.274e-07	1.08e-06	4.668e-10
10:104318006-104318106	1.249e-12	8.786e-10	1.677e-11
12:120687119-120687219	3.668e-10	4.668e-07	1.672e-07
15:39920423-39920523	9.913e-16	2.726e-09	2.592e-10
7:1537386-1537486	2.844e-11	2.722e-07	4.246e-08
16:31094580-31094680	7.316e-11	0.0001132	0.001368
1:27298905-27299005	1.043e-13	1.462e-09	4.309e-11
2:43042221-43042321	9.232e-11	2.584e-08	3.861e-09
16:2009531-2009631	2.481e-11	7.728e-08	6.438e-10
1:244864699-244864799	2.41e-12	1.309e-09	2.145e-12
4:119301051-119301151	2.484e-05	0.0009297	0.002189
6:144215962-144216062	1.961e-06	0.0008189	0.003241
17:41911073-41911173	3.674e-11	2.813e-06	7.85e-09
19:9621471-9621571	7.663e-06	3.204e-07	5.489e-09
19:13838580-13838680	6.378e-13	2.576e-10	2.797e-10
22:39319835-39319935	9.678e-13	4.243e-10	1.71e-13
2:218216777-218216877	3.677e-15	2.9e-11	1.483e-11
13:91349252-91349352	5.302e-10	5.331e-06	1.072e-09
17:75667363-75667463	1.407e-14	1.921e-10	7.086e-10
15:73965744-73965844	1.005e-22	8.337e-17	1.641e-17
6:144897843-144897943	1.014e-10	9.894e-10	3.571e-11
12:68808373-68808473	1.243e-12	2.735e-08	6.686e-08
12:51814351-51814451	7.883e-12	2.203e-09	1.006e-09
4:108650567-108650667	2.341e-11	9.795e-06	3.491e-06
12:68808780-68808880	8.025e-07	1.538e-07	1.768e-07
6:35469271-35469371	2.84e-12	2.043e-10	1.15e-09
7:131107527-131107627	6.159e-12	1.845e-07	4.957e-08
16:680283-680383	3.944e-13	6.172e-06	2.728e-06
19:13833338-13833438	3.138e-11	8.892e-10	4.913e-11
16:3305605-3305705	6.395e-16	1.277e-11	1.454e-12
15:67067587-67067687	3.726e-11	6.988e-08	3.027e-08
2:20514830-20514930	1.136e-11	6.512e-08	3.604e-10
21:34227627-34227727	1.346e-10	7.693e-09	3.051e-11
2:46335975-46336075	8.37e-13	1.527e-07	1.421e-11
1:155194773-155194873	4.656e-12	1.791e-06	2.76e-08
13:21176914-21177014	1.917e-13	1.467e-10	1.99e-10
10:100286929-100287029	5.133e-11	1.102e-10	1.292e-09
4:139556080-139556180	6.555e-16	5.507e-10	2.027e-10
10:3068670-3068770	4.924e-09	0.0006725	2.275e-05
3:183826252-183826352	2.231e-09	3.106e-08	1.295e-09
13:21176694-21176794	4.881e-06	1.421e-07	1.128e-06
17:76387376-76387476	4.775e-12	4.8e-07	3.039e-08
8:22918737-22918837	5.662e-15	6.061e-10	5.497e-11
8:109333910-109334010	6.324e-14	2.33e-10	3.314e-10
17:18088043-18088143	8.504e-17	4.136e-11	6.447e-12
6:157323801-157323901	4.121e-12	1.048e-09	6.815e-10
20:43943001-43943101	3.641e-13	2.076e-07	6.329e-09
6:136290442-136290542	1.566e-11	4.439e-07	4.49e-06
5:16462046-16462146	9.267e-15	1.915e-09	2.818e-11
19:53877261-53877361	1.412e-15	2.222e-11	6.641e-14
5:15008659-15008759	4.11e-12	4.994e-09	1.36e-10
14:50231933-50232033	1.266e-11	4.66e-08	4.088e-09
2:219229832-219229932	6.343e-16	3.953e-09	1.156e-08
14:73760227-73760327	7.214e-15	1.879e-08	1.617e-08
7:16397886-16397986	0.001646	0.001379	0.0003959
5:172795487-172795587	1.671e-15	1.423e-10	2.607e-10
7:101017510-101017610	7.83e-16	7.96e-11	1.075e-10
3:125375332-125375432	3.986e-14	1.161e-07	1.468e-07
M:9311-9411	1.28e-11	1.597e-06	3.153e-07
9:130936638-130936738	8.19e-12	9.219e-11	4.214e-10
11:9614398-9614498	1.449e-10	0.0001124	0.001368
4:108650878-108650978	1.096e-18	1.088e-10	3.076e-11
3:149377733-149377833	1.044e-11	1.301e-09	1.263e-10
1:58784491-58784591	3.336e-11	1.392e-07	7.245e-11
13:19782864-19782964	3.081e-14	1.394e-09	2.844e-09
10:133394322-133394422	4.022e-12	8.791e-10	4.552e-10
17:77355494-77355594	0.002087	0.001306	0.0001776
5:39425230-39425330	6.785e-10	6.825e-09	2.226e-10
1:169894127-169894227	2.84e-15	5.487e-09	9.422e-12
1:28369785-28369885	4.213e-16	1.972e-09	2.366e-10
9:3526242-3526342	2.189e-10	7.097e-07	7.158e-08
7:47481779-47481879	4.531e-11	3.134e-09	8.929e-11
