SEQID	USF2	MAX	BHLHE40
3:131350455-131350555	1.461e-15	7.575e-11	2.838e-13
8:125412694-125412794	4.362e-12	1.928e-09	1.317e-10
1:153728698-153728798	1.995e-16	4.509e-11	3.393e-12
22:46036807-46036907	1.478e-09	8.21e-09	6.79e-09
1:44682436-44682536	8.12e-11	6.017e-08	1.256e-09
12:96226457-96226557	2.918e-09	2.79e-05	6.851e-08
20:38067629-38067729	7.214e-17	3.517e-09	4.4e-10
5:142822522-142822622	1.346e-07	8.112e-05	2.268e-09
11:62169820-62169920	5.03e-16	3.529e-12	1.312e-12
9:35757626-35757726	2.371e-15	8.112e-13	3.643e-13
5:159208388-159208488	1.369e-13	1.828e-08	3.599e-07
X:10167063-10167163	4.587e-17	8.791e-11	4.852e-13
14:20413600-20413700	2.294e-13	5.309e-10	9.001e-10
4:165327782-165327882	2.419e-11	2.86e-06	5.693e-06
12:45990948-45991048	1.271e-17	6.34e-11	1.719e-12
15:85580052-85580152	2.7e-15	4.376e-10	1.524e-11
13:75836847-75836947	1.027e-13	3.846e-09	1.597e-11
3:33717943-33718043	1.844e-12	9.013e-08	7.302e-10
1:31296967-31297067	4.752e-11	3.699e-08	8.321e-10
12:27013761-27013861	1.255e-13	1.006e-08	1.711e-12
22:45743442-45743542	6.75e-09	1.541e-07	9.192e-06
10:70405731-70405831	3.599e-15	5.928e-12	8.734e-12
10:68901435-68901535	1.139e-12	4.508e-09	2.285e-09
7:94003822-94003922	4.99e-18	5.348e-09	7.052e-11
9:134362745-134362845	9.043e-05	2.31e-05	1.59e-08
2:127526445-127526545	3.807e-14	1.421e-09	2.846e-10
5:132293799-132293899	2.301e-11	4.18e-08	1.148e-08
16:68328892-68328992	5.442e-12	3.129e-09	2.15e-11
20:62003261-62003361	1.916e-11	2.68e-08	1.262e-10
7:5528253-5528353	2.804e-10	5.122e-11	2.973e-13
1:112705157-112705257	1.332e-12	3.942e-10	9.805e-12
1:8878274-8878374	7.372e-05	0.003165	0.0002785
15:69160543-69160643	4.501e-15	1.597e-08	7.075e-09
7:99662894-99662994	5.056e-14	2.726e-07	5.224e-07
14:104768840-104768940	4.371e-16	7.47e-11	8.418e-12
X:49164721-49164821	4.657e-10	1.703e-08	2.299e-09
2:216619946-216620046	1.141e-17	1.5e-12	7.735e-13
20:57390233-57390333	4.222e-09	3.615e-07	3.901e-09
3:184378262-184378362	1.903e-12	4.317e-11	1.434e-09
1:26500916-26501016	1.36e-06	0.0008259	0.00324
6:134952190-134952290	6.937e-18	2.983e-11	3.117e-09
14:104677985-104678085	2.025e-12	1.191e-09	1.021e-10
15:65787988-65788088	6.117e-16	6.075e-08	1.552e-12
22:17563305-17563405	6.26e-13	1.496e-09	3.174e-12
13:79485470-79485570	2.66e-11	5.263e-10	1.4e-11
7:32892331-32892431	1.143e-14	9.084e-10	3.821e-10
21:14383964-14384064	5.946e-09	2.022e-07	7.871e-06
13:48975622-48975722	2.625e-11	9.654e-08	3.482e-10
15:96159262-96159362	2.659e-08	7.242e-05	6.181e-09
22:49936411-49936511	8.672e-11	7.403e-09	1.878e-11
10:6256227-6256327	2.508e-10	4.408e-10	3.055e-11
20:5113295-5113395	6.491e-10	2.165e-08	6.337e-11
22:32629405-32629505	6.118e-16	3.879e-11	2.745e-10
3:100761647-100761747	6.714e-17	8.594e-12	5.861e-13
13:44301330-44301430	6.395e-17	2.589e-12	1.129e-14
9:12773941-12774041	4.19e-13	6.306e-09	6.38e-11
10:79394663-79394763	1.105e-10	7.457e-07	2.349e-08
9:34666391-34666491	4.79e-17	6.59e-13	7.879e-14
15:90249670-90249770	1.861e-10	9.984e-09	1.97e-10
9:97983649-97983749	8.724e-06	3.937e-06	1.303e-07
19:39031602-39031702	1.201e-12	9.924e-10	9.562e-11
3:179347867-179347967	3.981e-11	6.214e-09	1.396e-10
1:225441796-225441896	5.823e-17	1.843e-11	2.319e-09
10:85993283-85993383	2.787e-12	5.575e-09	3.999e-11
22:20270237-20270337	8e-12	6.932e-09	1.389e-09
10:119818336-119818436	6.833e-10	5.13e-06	1.969e-07
1:175635472-175635572	1.28e-10	6.404e-07	2.55e-07
17:78251263-78251363	4.869e-06	1.574e-07	9.669e-10
20:17570313-17570413	7.281e-15	3.559e-10	1.753e-09
11:76768028-76768128	2.833e-05	1.884e-07	6.749e-09
17:28368430-28368530	3.894e-16	1.63e-11	5.363e-13
16:31477469-31477569	5.565e-12	1.019e-06	6.856e-07
20:51412666-51412766	1.346e-10	5.537e-08	2.807e-10
13:109593265-109593365	1.175e-15	1.91e-10	1.229e-10
15:65088013-65088113	2.706e-10	1.561e-10	6.714e-12
7:46933048-46933148	1.42e-11	3.624e-10	8.187e-11
12:56116777-56116877	4.039e-10	6.239e-09	3.693e-11
5:110000428-110000528	1.359e-16	9.813e-11	5.869e-13
12:121016598-121016698	5.67e-07	2.345e-06	8.18e-11
15:81324614-81324714	1.938e-12	1.486e-06	1.658e-05
16:51148732-51148832	3.333e-16	2.918e-09	6.727e-12
1:16207560-16207660	6.37e-15	1.31e-09	5.843e-10
14:76773125-76773225	5.569e-10	8.194e-09	5.542e-10
8:97643771-97643871	6.252e-10	8.812e-11	1.487e-11
15:75664232-75664332	1.436e-16	3.727e-13	3.112e-11
12:112978831-112978931	6.003e-12	1.301e-07	1.637e-10
9:131655246-131655346	1.274e-05	2.959e-05	6.742e-10
11:125404380-125404480	2.403e-07	1.32e-05	6.034e-08
17:39730585-39730685	2.553e-13	6e-11	1.493e-09
3:53166746-53166846	2.244e-12	2.98e-10	1.29e-09
3:105369912-105370012	1.219e-12	2.04e-08	2.523e-09
10:103660591-103660691	3.8e-11	5.488e-06	1.686e-07
6:31947485-31947585	2.479e-10	1.383e-10	8.196e-11
10:114527022-114527122	5.194e-11	1.019e-06	6.854e-07
6:111610939-111611039	5.194e-11	1.019e-06	6.854e-07
2:71456555-71456655	6.914e-16	5.56e-13	5.884e-13
19:48772881-48772981	4.498e-10	1.765e-08	6.13e-09
17:82782986-82783086	4.176e-14	1.875e-09	5.666e-10
12:663787-663887	9.345e-13	1.082e-07	5.783e-09
6:28674105-28674205	2.795e-15	5.198e-10	2.769e-12
17:45317671-45317771	3.658e-06	3.529e-05	3.22e-08
6:156703947-156704047	2.184e-15	2.415e-12	1.01e-13
13:110716535-110716635	1.413e-13	4.968e-11	1.903e-13
6:108115150-108115250	2.5e-15	2.142e-10	4.017e-11
1:220881649-220881749	1.643e-12	2.448e-07	1.095e-09
15:78507418-78507518	2.371e-17	7.375e-12	1.259e-12
2:86105774-86105874	1.009e-06	3.256e-05	2.575e-07
10:72260071-72260171	1.215e-05	1.082e-05	9.713e-10
7:1861866-1861966	3.526e-11	2.586e-09	6.041e-11
1:151368534-151368634	1.263e-06	1.633e-05	3.809e-09
11:64875911-64876011	2.08e-11	1.539e-10	8.818e-11
13:31706519-31706619	2.08e-11	1.539e-10	8.818e-11
1:207827189-207827289	1.794e-11	1.233e-07	4.677e-09
17:75738472-75738572	5.614e-17	2.707e-11	2.533e-11
9:133030885-133030985	7.098e-16	2.879e-09	7.34e-10
2:152718695-152718795	2.515e-09	3.93e-07	3.712e-08
19:47130844-47130944	1.438e-12	2.02e-08	1.384e-09
3:63967113-63967213	2.907e-16	3.016e-11	1.241e-11
14:64948654-64948754	4.819e-11	1.653e-07	9.205e-08
6:36442481-36442581	2.475e-12	1.059e-08	2.267e-11
5:1339231-1339331	1.928e-11	1.066e-08	1.761e-08
5:80141488-80141588	1.751e-14	3.497e-10	2.313e-10
7:975409-975509	8.805e-12	3.982e-10	3.497e-11
10:102461272-102461372	0.0001997	1.452e-07	1.157e-06
19:13155337-13155437	8.964e-17	6.529e-10	3.972e-07
8:21918733-21918833	6.529e-15	4.071e-11	2.323e-10
3:45861005-45861105	2.252e-12	2.039e-08	6.85e-11
2:135052726-135052826	1.47e-12	8.147e-10	3.67e-11
1:194026810-194026910	4.83e-13	1.226e-09	1.392e-07
14:73802817-73802917	1.468e-16	4.17e-11	4.145e-11
22:40652310-40652410	2.206e-12	1.663e-06	8.317e-06
11:76381362-76381462	1.716e-11	1.724e-07	3.727e-06
16:588731-588831	6.841e-12	2.491e-08	3.16e-09
21:34796077-34796177	6.4e-13	1.136e-10	2.187e-10
3:141235916-141236016	1.167e-13	2.092e-10	3.362e-11
15:89679969-89680069	4.502e-16	6.969e-11	1.795e-12
