Gene stable ID	Gene name
ENSG00000180318	ALX1
ENSG00000156150	ALX3
ENSG00000052850	ALX4
ENSG00000169083	AR
ENSG00000116017	ARID3A
ENSG00000179361	ARID3B
ENSG00000196843	ARID5A
ENSG00000143437	ARNT
ENSG00000133794	ARNTL
ENSG00000004848	ARX
ENSG00000183734	ASCL2
ENSG00000123268	ATF1
ENSG00000162772	ATF3
ENSG00000128272	ATF4
ENSG00000170653	ATF7
ENSG00000172238	ATOH1
ENSG00000125492	BARHL1
ENSG00000143032	BARHL2
ENSG00000131668	BARX1
ENSG00000123685	BATF3
ENSG00000113916	BCL6
ENSG00000161940	BCL6B
ENSG00000180535	BHLHA15
ENSG00000180828	BHLHE22
ENSG00000125533	BHLHE23
ENSG00000134107	BHLHE40
ENSG00000123095	BHLHE41
ENSG00000188909	BSX
ENSG00000113722	CDX1
ENSG00000165556	CDX2
ENSG00000245848	CEBPA
ENSG00000172216	CEBPB
ENSG00000221869	CEBPD
ENSG00000092067	CEBPE
ENSG00000153879	CEBPG
ENSG00000125817	CENPB
ENSG00000134852	CLOCK
ENSG00000118260	CREB1
ENSG00000107175	CREB3
ENSG00000157613	CREB3L1
ENSG00000182158	CREB3L2
ENSG00000146592	CREB5
ENSG00000095794	CREM
ENSG00000105392	CRX
ENSG00000102974	CTCF
ENSG00000257923	CUX1
ENSG00000111249	CUX2
ENSG00000105516	DBP
ENSG00000144355	DLX1
ENSG00000115844	DLX2
ENSG00000064195	DLX3
ENSG00000108813	DLX4
ENSG00000006377	DLX6
ENSG00000197587	DMBX1
ENSG00000064218	DMRT3
ENSG00000260596	DUX4
ENSG00000258873	DUXA
ENSG00000101412	E2F1
ENSG00000007968	E2F2
ENSG00000282899	E2F2
ENSG00000112242	E2F3
ENSG00000205250	E2F4
ENSG00000169016	E2F6
ENSG00000165891	E2F7
ENSG00000129173	E2F8
ENSG00000164330	EBF1
ENSG00000120738	EGR1
ENSG00000122877	EGR2
ENSG00000179388	EGR3
ENSG00000135625	EGR4
ENSG00000135373	EHF
ENSG00000120690	ELF1
ENSG00000163435	ELF3
ENSG00000102034	ELF4
ENSG00000135374	ELF5
ENSG00000126767	ELK1
ENSG00000111145	ELK3
ENSG00000158711	ELK4
ENSG00000135638	EMX1
ENSG00000170370	EMX2
ENSG00000163064	EN1
ENSG00000164778	EN2
ENSG00000163508	EOMES
ENSG00000105722	ERF
ENSG00000157554	ERG
ENSG00000091831	ESR1
ENSG00000140009	ESR2
ENSG00000173153	ESRRA
ENSG00000119715	ESRRB
ENSG00000196482	ESRRG
ENSG00000123576	ESX1
ENSG00000134954	ETS1
ENSG00000006468	ETV1
ENSG00000105672	ETV2
ENSG00000117036	ETV3
ENSG00000175832	ETV4
ENSG00000244405	ETV5
ENSG00000139083	ETV6
ENSG00000106038	EVX1
ENSG00000174279	EVX2
ENSG00000163497	FEV
ENSG00000183733	FIGLA
ENSG00000151702	FLI1
