SEQID	MAX	BHLHE40	ATF3	CEBPB	MAFK	FOSL2	NFE2L2	JUND
9:120463834-120463934	3.198e-11	1.938e-12	1.313e-07	1.788e-09	2.389e-12	0.002643	3.671e-08	0.0001249
3:30511959-30512059	7.034e-11	1.281e-12	2.752e-09	3.19e-09	3.006e-12	2.435e-05	6.856e-10	0.0001173
16:83953305-83953405	1.352e-07	1.328e-06	2.954e-11	1.187e-08	1.112e-12	1.561e-10	5.212e-12	2.113e-16
8:61316467-61316567	3.686e-10	9.464e-11	2.293e-08	6.374e-09	3.198e-10	6.411e-12	5.407e-10	2.829e-17
8:69833699-69833799	1.252e-08	7.679e-11	3.103e-11	1.264e-11	2.302e-11	1.221e-13	9.314e-13	6.504e-17
5:82397292-82397392	1.233e-09	9.27e-11	1.491e-08	8.354e-12	4.141e-10	9.917e-14	1.559e-09	4.234e-16
14:68248232-68248332	1.699e-12	2.13e-12	5.462e-10	5.33e-12	1.993e-11	2.28e-17	8.072e-14	9.336e-20
17:7572814-7572914	1.068e-09	9.185e-10	3.502e-10	9.765e-11	7.7e-08	1.33e-13	5.138e-13	1.271e-17
1:85438709-85438809	2.141e-12	2.478e-13	5.194e-12	5.63e-09	3.899e-09	8.705e-15	4.923e-09	9.347e-19
19:32374131-32374231	3.051e-15	3.131e-15	1.451e-15	2.164e-20	3.899e-09	5.251e-18	4.923e-09	1e-22
13:44435530-44435630	6.04e-10	2.895e-08	3.581e-09	2.5e-09	1.754e-13	7.964e-13	4.245e-10	1.747e-11
7:134910842-134910942	1.22e-08	1.278e-10	2.018e-08	1.236e-06	2.624e-13	2.111e-14	1.478e-11	3.446e-19
5:81356037-81356137	1.32e-05	6.028e-08	9.59e-06	3.797e-09	4.084e-13	3.57e-13	2.276e-13	1.192e-17
16:4624624-4624724	1.764e-09	1.291e-08	9.519e-10	1.208e-12	4.644e-12	1.104e-15	2.559e-12	2.077e-20
3:9363440-9363540	1.764e-09	1.291e-08	9.519e-10	1.208e-12	4.644e-12	1.104e-15	2.559e-12	2.077e-20
1:156054126-156054226	8.92e-10	2.941e-11	7.483e-09	4.447e-11	2.482e-14	4.378e-13	2.628e-11	2.544e-17
1:150852653-150852753	1.577e-12	1.087e-12	6.514e-10	1.514e-11	4.502e-10	3.027e-13	3.412e-13	8.575e-16
13:46688140-46688240	3.765e-09	1.065e-11	9.715e-09	2.228e-06	3.322e-08	8.12e-13	3.537e-13	8.26e-17
2:38767554-38767654	3.382e-13	6.511e-15	9.67e-12	1.087e-08	2.769e-14	5.304e-13	5.368e-12	1.016e-15
3:58053215-58053315	1.163e-09	2.204e-13	1.438e-09	5.948e-10	2.173e-09	2.209e-17	1.372e-14	1.29e-19
15:38129827-38129927	6.202e-06	4.534e-10	1.818e-10	4.193e-07	1.794e-11	2.333e-08	3.482e-09	1.234e-09
18:22560123-22560223	3.475e-06	1.149e-05	2.616e-08	7.023e-08	2.748e-14	8.597e-13	3.413e-12	5.018e-16
1:224732760-224732860	1.041e-09	1.632e-10	2.401e-12	2.114e-09	8.079e-15	2.431e-13	8.593e-12	3.624e-17
19:55006271-55006371	7.825e-07	5.037e-08	9.626e-09	5.588e-10	8e-14	1.31e-10	1.585e-06	3.054e-16
3:31637069-31637169	1.59e-08	1.362e-10	1.435e-08	6.23e-07	1.319e-12	4.974e-14	5.002e-12	5.094e-17
11:111363333-111363433	6.916e-07	2.453e-10	1.002e-09	4.952e-08	2.379e-13	1.285e-12	7.88e-12	3.741e-19
1:67814524-67814624	1.182e-08	6.885e-11	6.971e-10	3.51e-08	1.896e-08	1.317e-13	6.606e-10	8.638e-16
3:123528471-123528571	1.669e-11	1.783e-13	2.668e-11	2.87e-09	1.283e-12	2.327e-15	1.032e-12	1.739e-19
7:134703443-134703543	4.283e-11	6.367e-10	1.781e-08	5.578e-14	5.328e-15	1.366e-13	2.825e-14	1.322e-15
1:21271940-21272040	4.517e-10	1.812e-11	7.083e-10	8.973e-07	2.73e-12	5.22e-13	2.424e-11	5.426e-16
14:32230511-32230611	3.93e-11	9.985e-13	4.832e-10	8.595e-12	3.614e-08	4.01e-10	5.398e-10	5.752e-12
8:490867-490967	6.179e-08	3.952e-08	4.113e-10	3.269e-10	4.512e-08	5.929e-10	1.84e-12	2.251e-12
5:158435132-158435232	3.03e-13	7.766e-14	1.683e-10	9.653e-15	4.64e-10	1.229e-16	1.223e-09	2.314e-19
2:188416043-188416143	2.831e-10	3.574e-13	5.425e-10	2.093e-09	3.124e-07	4.543e-12	1.776e-10	5.52e-14
4:153792705-153792805	5.255e-06	1.69e-09	1.749e-11	2.171e-12	5.381e-11	8.989e-16	4.688e-13	2.489e-21
6:135681606-135681706	6.886e-07	7.323e-09	6.677e-08	9.86e-06	1.426e-11	2.122e-15	7.6e-11	3.438e-17
17:50950220-50950320	7.07e-10	5.522e-12	2.195e-07	1.463e-10	4.783e-11	4.967e-10	2.868e-07	9.904e-10
1:155017792-155017892	5.768e-09	2.348e-09	6.836e-09	1.616e-13	1.1e-13	1.724e-13	4.659e-14	5.084e-17
1:40384481-40384581	5.319e-08	2.086e-07	2.465e-08	1.278e-09	9.019e-08	1.528e-08	3.106e-12	1.333e-09
10:63922817-63922917	1.053e-08	1.163e-10	1.211e-08	8.528e-12	8.996e-09	1.79e-08	1.329e-10	3.649e-13
11:13140674-13140774	2.948e-10	6.15e-11	4.228e-11	8.307e-11	8.189e-11	9.749e-11	5.271e-13	3.783e-17
6:123323816-123323916	5.278e-11	2.935e-12	6.33e-10	1.261e-12	1.795e-11	1.35e-12	4.213e-11	2.109e-17
6:15376157-15376257	1.105e-10	4.544e-12	1.082e-06	5.11e-09	7.561e-12	1.927e-13	9.466e-12	1.76e-17
14:94569860-94569960	5.705e-22	1.031e-12	1.151e-15	1.069e-23	7.561e-12	1.666e-21	9.466e-12	1.76e-17
12:13165838-13165938	3.927e-10	6.803e-11	6.964e-09	2.314e-11	5.587e-10	2.564e-11	7.124e-11	8.858e-15
13:113396840-113396940	4.628e-12	7.68e-14	8.742e-10	1.045e-12	1.398e-15	1.831e-13	3.527e-15	1.349e-15
6:125946655-125946755	4.628e-12	7.68e-14	8.742e-10	1.045e-12	1.398e-15	1.831e-13	3.527e-15	1.349e-15
