SEQID	HNF4G	HNF4A
3:65875707-65875807	2.189e-09	7.384e-20
4:68818360-68818460	2.529e-07	3.342e-16
X:96579699-96579799	1.149e-06	1.713e-10
8:143927215-143927315	2.636e-07	5.611e-18
15:80215321-80215421	7.126e-08	3.839e-11
1:220407481-220407581	4.566e-10	9.39e-19
16:72877468-72877568	1.21e-09	3.597e-20
1:1659297-1659397	2.592e-09	9.567e-18
8:32433156-32433256	5.054e-10	1.922e-22
3:146161604-146161704	2.58e-09	1.002e-17
9:130408273-130408373	2.322e-08	3.869e-21
17:27825804-27825904	1.671e-09	4.935e-20
2:64767906-64768006	1.985e-09	3.138e-22
13:33873967-33874067	5.383e-09	9.118e-17
12:69740162-69740262	4.314e-10	5.53e-15
12:118016671-118016771	8.972e-08	1.754e-19
10:87506138-87506238	3.723e-09	3.392e-23
9:73023379-73023479	1.929e-11	1.096e-20
7:195247-195347	2.847e-10	2.48e-19
16:3065199-3065299	0.0002434	4.216e-10
16:11063990-11064090	1.191e-10	1.728e-24
13:30618047-30618147	1.465e-10	9.532e-22
4:105598419-105598519	8.481e-08	9.264e-17
6:38688747-38688847	9.197e-15	9.264e-17
11:111926914-111927014	8.51e-06	6.261e-15
3:20833683-20833783	8.61e-09	2.912e-19
13:114311762-114311862	8.61e-09	2.912e-19
9:93119743-93119843	7.812e-09	5.904e-16
1:154932203-154932303	4.478e-10	2.539e-21
14:23007265-23007365	8.353e-09	3.529e-20
5:168047695-168047795	7.79e-07	1.136e-14
7:155277121-155277221	6.165e-11	4.197e-17
10:27242357-27242457	4.213e-09	2.923e-18
17:38869366-38869466	8.446e-10	4.39e-20
9:88436252-88436352	1.173e-06	9.148e-15
6:11731742-11731842	2.433e-09	2.461e-20
12:6724188-6724288	7.557e-11	5.063e-18
9:127141729-127141829	1.984e-07	1.207e-20
19:44924422-44924522	0.0002383	6.865e-12
3:78501585-78501685	1.476e-08	3.496e-18
5:165496101-165496201	8.597e-10	5.643e-22
4:148217123-148217223	1.943e-05	1.33e-12
13:43043863-43043963	9.226e-08	3.357e-16
20:2918760-2918860	3.619e-08	7.198e-21
9:4794641-4794741	9.015e-10	3.834e-19
17:2709380-2709480	6.589e-05	1.219e-11
13:24033938-24034038	5.183e-07	4.6e-13
18:22980869-22980969	1.098e-10	7.176e-23
9:34686122-34686222	2.693e-09	1.052e-20
4:122921130-122921230	7.888e-12	4.472e-21
4:71758007-71758107	1.88e-09	1.737e-20
6:131950232-131950332	5.667e-06	2.877e-15
6:168247956-168248056	1.66e-09	9.345e-22
3:111860556-111860656	2.68e-09	4.778e-16
8:1971242-1971342	4.716e-11	5.092e-20
7:92699460-92699560	2.307e-09	2.501e-19
12:29381455-29381555	2.84e-09	7.725e-20
19:12891210-12891310	2.746e-10	7.101e-20
4:151315575-151315675	1.439e-08	3.807e-22
10:71636818-71636918	1.415e-07	5.131e-18
10:56085670-56085770	4.128e-09	5.297e-19
3:193712478-193712578	4.18e-09	1.718e-18
7:70620834-70620934	2.852e-05	1.062e-14
2:20584841-20584941	1.722e-05	7.957e-19
8:69603775-69603875	3.381e-10	4.102e-20
17:50878216-50878316	1.519e-05	1.827e-18
X:117140948-117141048	1.519e-05	1.827e-18
16:58393138-58393238	5.813e-10	6.129e-21
8:54261946-54262046	2.804e-09	1.011e-14
7:79382963-79383063	2.378e-08	5.358e-21
13:76955589-76955689	3.997e-09	8.585e-19
5:95644664-95644764	8.124e-05	2.798e-11
6:108170605-108170705	1.252e-05	4.688e-13
9:128818562-128818662	7.498e-07	1.496e-17
10:96664805-96664905	0.0001658	3.439e-10
14:67944993-67945093	1.249e-08	1.758e-22
7:138297833-138297933	1.301e-11	2.244e-25
7:142064069-142064169	2.01e-11	1.956e-17
17:8221100-8221200	2.445e-08	2.866e-15
1:169193801-169193901	2.302e-10	1.559e-18
11:65427638-65427738	6.803e-09	2.466e-19
3:53130652-53130752	0.0001711	2.978e-14
7:8176101-8176201	6.869e-11	5.875e-18
11:7893089-7893189	1.055e-06	2.118e-17
6:144776465-144776565	1.544e-09	2.066e-17
8:17336652-17336752	4.088e-07	5.981e-16
3:66037563-66037663	4.195e-08	2.521e-17
4:168699576-168699676	3.312e-10	8.362e-21
14:68171269-68171369	1.609e-10	1.294e-24
17:17494205-17494305	2.378e-09	2.145e-19
14:24109145-24109245	1.524e-06	2.399e-17
21:44958992-44959092	6.234e-09	1.303e-18
7:149565-149665	2.001e-07	3.714e-17
3:134347924-134348024	1.345e-11	5.916e-21
17:8222344-8222444	1.497e-06	5.483e-18
2:118431075-118431175	3.841e-05	1.045e-10
11:10893930-10894030	1.972e-09	1.578e-20
12:118034034-118034134	8.611e-07	3.5e-18
12:51173293-51173393	5.986e-07	2.68e-18
7:40470279-40470379	1.737e-06	6.135e-14
6:110654407-110654507	8.343e-09	1.053e-19
1:183753713-183753813	8.343e-09	1.053e-19
14:102778554-102778654	9.959e-09	3.15e-20
15:45027033-45027133	2.691e-09	4.637e-20
14:101972695-101972795	1.607e-07	1.603e-17
X:73941045-73941145	9.099e-08	4.056e-17
19:48816308-48816408	3.594e-09	8.353e-24
1:61213758-61213858	5.693e-05	1.639e-11
3:132658499-132658599	6.458e-12	1.404e-23
4:37978188-37978288	1.981e-09	6.038e-21
8:30416184-30416284	2.137e-07	1.783e-17
2:229267189-229267289	4.927e-09	2.126e-17
12:15257135-15257235	4.883e-10	1.17e-19
10:25079173-25079273	0.001731	4.814e-06
X:18399968-18400068	0.001731	4.814e-06
18:70422284-70422384	5.781e-08	2.122e-16
1:24415903-24416003	3.302e-08	1.285e-14
7:45876820-45876920	1.628e-08	4.251e-18
8:15529045-15529145	6.466e-10	1.322e-21
Y:13149472-13149572	6.466e-10	1.322e-21
2:174487440-174487540	1.984e-09	4.407e-16
3:183483967-183484067	1.984e-09	4.407e-16
19:56368327-56368427	2.491e-11	5.197e-21
7:137949227-137949327	5.435e-12	2.352e-23
7:50677922-50678022	1.987e-08	4.221e-20
3:100651538-100651638	8.899e-10	1.754e-25
6:39943302-39943402	9.704e-09	3.171e-16
5:50992419-50992519	1.22e-10	1.435e-21
10:68278658-68278758	1.22e-10	1.435e-21
13:45255640-45255740	1.855e-07	1.66e-19
