SEQID	HNF4G	HNF4A
6:168196701-168196801	2.064e-09	9.809e-21
20:10405481-10405581	4.904e-08	1.098e-15
2:62699004-62699104	5.036e-06	1.781e-14
18:11005965-11006065	2.798e-11	1.632e-21
2:27184446-27184546	1.183e-10	1.399e-21
8:17453498-17453598	3.87e-08	6.74e-14
1:169572342-169572442	1.888e-08	3.907e-18
2:10278513-10278613	6.264e-11	1.641e-21
17:40461516-40461616	1.925e-12	7.579e-23
3:176927635-176927735	2.984e-11	2.056e-21
2:63663669-63663769	1.285e-10	4.937e-16
12:115943873-115943973	3.461e-11	2.32e-20
17:82108312-82108412	2.817e-10	1.96e-18
5:172765859-172765959	4.142e-07	5.075e-17
9:37928251-37928351	6.672e-08	2.332e-19
2:207898125-207898225	1.475e-09	1.698e-22
17:57561689-57561789	1.454e-09	2.488e-19
1:25871275-25871375	2.254e-08	1.055e-19
11:130232492-130232592	1.239e-08	2.654e-15
1:225694416-225694516	2.527e-08	4.34e-18
5:96333178-96333278	2.428e-09	6.242e-21
6:149546329-149546429	9.024e-11	3.025e-19
1:161224491-161224591	2.241e-08	1.597e-14
10:110141519-110141619	9.452e-07	2.95e-17
13:113122957-113123057	8.375e-09	9.486e-22
2:211094085-211094185	8.375e-09	9.486e-22
11:72787571-72787671	1.708e-08	4.834e-17
14:68143556-68143656	7.662e-06	4.607e-17
5:90915618-90915718	1.151e-09	2.051e-18
1:57019659-57019759	1.043e-09	1.253e-17
15:57115111-57115211	0.002548	7.04e-06
1:177702101-177702201	9.383e-09	1.65e-13
2:9337122-9337222	6.4e-10	2.687e-22
7:73855955-73856055	2.831e-07	1.15e-14
4:140229402-140229502	3.251e-11	2.543e-19
6:47448073-47448173	9.086e-08	2.277e-17
5:80632219-80632319	2.788e-10	3.539e-18
4:153567130-153567230	3.191e-08	1.269e-16
5:136094811-136094911	1.485e-09	1.183e-16
6:111534720-111534820	1.273e-09	5.196e-19
20:42702350-42702450	2.405e-07	5.603e-18
8:13139612-13139712	1.712e-09	5.624e-19
20:25338708-25338808	6.527e-09	4.873e-18
1:206973059-206973159	2.724e-08	2.517e-18
2:16006668-16006768	6.57e-09	2.445e-17
17:18191402-18191502	4.912e-07	2.391e-15
2:174561654-174561754	7.106e-09	1.794e-18
9:97478683-97478783	1.518e-10	1.851e-23
1:232788618-232788718	3.32e-07	1.015e-23
X:120252102-120252202	1.891e-08	1.184e-14
10:14536930-14537030	5.618e-11	1.188e-19
1:220810248-220810348	3.322e-11	1.255e-24
7:155254280-155254380	8.37e-10	5.714e-22
22:33579831-33579931	1.324e-08	1.094e-16
2:98796336-98796436	1.889e-09	3.341e-20
1:163231143-163231243	9.395e-10	1.052e-17
18:21336297-21336397	6.893e-06	1.836e-13
10:71348226-71348326	0.001839	1.945e-11
2:111193317-111193417	2.397e-10	1.216e-18
6:131836980-131837080	3.719e-07	2.313e-19
22:41410531-41410631	2.42e-08	1.383e-20
10:33156275-33156375	6.58e-08	3.49e-17
18:34397499-34397599	1.809e-08	1.078e-17
10:64573969-64574069	1.809e-08	1.078e-17
2:75571133-75571233	1.902e-08	3.354e-21
1:162137180-162137280	7.212e-10	2.804e-17
18:23858147-23858247	6.282e-12	1.927e-19
12:51025123-51025223	2.337e-05	3.968e-12
17:73278503-73278603	2.827e-07	6.975e-20
8:120705370-120705470	3.121e-08	2.149e-18
22:41091650-41091750	3.837e-10	2.608e-17
11:15200063-15200163	1.291e-10	1.147e-15
1:234918543-234918643	9.136e-05	9.866e-12
10:114632446-114632546	9.2e-09	2.309e-16
1:1758299-1758399	1.055e-07	1.659e-14
3:141413087-141413187	8.057e-09	6.89e-17
2:121419640-121419740	1e-08	7.084e-18
17:37507478-37507578	1e-08	7.084e-18
12:31729470-31729570	2.971e-11	1.18e-18
15:84912222-84912322	1.083e-08	5.106e-19
4:158672370-158672470	8.193e-07	8.379e-16
12:26523964-26524064	1.709e-08	1.389e-18
16:53837042-53837142	3.038e-09	2.325e-19
2:240876782-240876882	1.612e-10	1.703e-19
