SEQID	ATF3	GABPA	BHLHE40	CEBPB	CTCF	ELK1	FOSL2	FOXA1	FOXA2	HNF4A	HNF4G	JUND	MAFK	MAX	NFE2L2	REST	USF2	YY1	ZBTB33
6:168196701-168196801	4.469e-07	9.476e-06	3.868e-08	7.811e-09	2.342e-09	5.52e-06	1.697e-14	7.289e-16	9.649e-11	9.809e-21	2.064e-09	2.708e-18	2.805e-12	1.39e-06	5.392e-11	6.301e-17	8.217e-12	6.966e-09	1.872e-08
20:10405481-10405581	1.75e-08	7.937e-09	8.57e-10	8.045e-10	1.247e-11	4.914e-10	4.884e-13	4.542e-12	2.144e-09	1.098e-15	4.904e-08	1.337e-17	2.218e-11	2.798e-08	2.102e-11	2.428e-14	2.103e-11	2.93e-07	2.133e-12
2:62699004-62699104	5.235e-10	1.006e-08	1.605e-12	9.626e-08	6.222e-12	1.003e-10	1.524e-15	2.511e-11	9.432e-09	1.781e-14	5.036e-06	9.288e-18	7.615e-10	3.899e-08	3.669e-13	4.575e-15	1.628e-12	1.732e-10	2.366e-13
18:11005965-11006065	2.734e-09	3.764e-11	3.685e-11	4.108e-09	1.479e-14	5.494e-13	3.188e-15	2.412e-09	2.354e-08	1.632e-21	2.798e-11	3.743e-18	1.173e-12	6.088e-10	2.661e-13	8.877e-21	9.734e-17	1.873e-09	1.876e-08
2:27184446-27184546	2.945e-06	1.068e-11	5.53e-13	1.555e-09	1.702e-08	4.268e-13	7.138e-12	5.933e-10	9.621e-08	1.399e-21	1.183e-10	1.019e-14	1.213e-06	8.597e-11	3.504e-09	2.691e-17	4.633e-16	4.18e-11	1.299e-12
8:17453498-17453598	7.975e-11	4.448e-11	8.686e-14	2.909e-11	1.64e-11	1.231e-13	8.048e-16	2.636e-05	1.439e-05	6.74e-14	3.87e-08	1.081e-19	3.85e-10	8.449e-12	4.034e-11	6.997e-20	1.321e-21	1.142e-10	2.425e-11
1:169572342-169572442	3.983e-08	2.827e-12	4.69e-12	2.169e-10	1.324e-10	7.436e-14	2.005e-12	2.227e-05	9.303e-06	3.907e-18	1.888e-08	8.853e-16	1.063e-07	6.735e-09	8.263e-10	9.812e-16	5.846e-12	2.832e-13	5.996e-12
2:10278513-10278613	2.868e-07	2.57e-12	8.081e-05	9.196e-09	7.186e-16	8.188e-15	2.636e-13	2.54e-10	4.393e-09	1.641e-21	6.264e-11	6.067e-17	1.217e-11	0.008774	3.247e-10	1.037e-19	6.505e-05	9.207e-11	2.506e-11
17:40461516-40461616	7.239e-13	1.339e-11	1.257e-14	1.036e-12	1.103e-15	6.548e-13	1.055e-11	2.211e-14	1.766e-12	7.579e-23	1.925e-12	3.036e-13	1.079e-12	1.197e-13	1.989e-10	1.279e-18	6.325e-21	2.009e-16	9.65e-13
3:176927635-176927735	9.268e-11	2.785e-13	1.736e-13	1.809e-10	2.873e-16	1.754e-13	1.276e-17	8.609e-11	2.756e-08	2.056e-21	2.984e-11	4.314e-23	1.86e-13	7.747e-11	1.682e-12	2.379e-23	1.251e-17	4.559e-14	9.18e-15
