SEQID	ATF3	GABPA	BHLHE40	CEBPB	CTCF	ELK1	FOSL2	FOXA1	FOXA2	HNF4A	HNF4G	JUND	MAFK	MAX	NFE2L2	REST	USF2	YY1	ZBTB33
12:111599605-111599705	2.038e-09	1.452e-08	0.0002643	1.103e-13	1.539e-11	4.023e-10	2.393e-15	5.187e-15	2.048e-11	4.768e-19	2.23e-09	8.779e-21	6.005e-14	0.0004279	1.869e-12	1.136e-14	1.782e-06	1.823e-12	2.239e-08
13:97433416-97433516	2.372e-07	1.482e-05	3.364e-12	1.733e-13	2.183e-11	6.029e-07	1.636e-08	1.878e-16	1.482e-13	1.589e-12	3.246e-09	6.844e-11	1.752e-14	4.012e-11	8.878e-11	2.699e-13	2.359e-15	2.716e-12	1.725e-09
5:181223494-181223594	3.703e-09	1.21e-05	9.054e-11	1.337e-12	7.29e-11	1.206e-07	3.716e-16	9.581e-17	6.078e-12	2.559e-21	3.893e-10	4.229e-22	5.477e-12	1.273e-09	5.091e-14	8.577e-18	3.235e-15	3.301e-08	3.249e-06
9:128322802-128322902	1.263e-09	6.901e-09	7.144e-13	5.018e-11	8.718e-11	4.711e-11	1.794e-13	2.927e-16	1.379e-10	4.293e-16	2.067e-07	4.66e-17	1.148e-13	1.357e-11	6.037e-10	7.484e-17	5.959e-16	2.221e-08	5.976e-10
15:78131568-78131668	1.88e-10	9.04e-06	5.467e-10	1.45e-15	8.498e-11	3.631e-09	3.102e-13	1.304e-15	2.274e-12	1.568e-12	4.04e-05	5.881e-17	9.4e-15	3.705e-10	1.566e-12	1.377e-14	7.407e-16	3.057e-13	1.301e-09
2:99336438-99336538	6.355e-12	1.848e-06	2.594e-11	1.847e-12	7.324e-12	9.206e-08	1.64e-15	1.026e-14	4.416e-11	7.134e-19	1.122e-06	1.276e-22	2.321e-10	1.995e-10	1.91e-14	3.466e-18	1.339e-13	1.501e-12	3.313e-10
10:104269220-104269320	2.65e-10	1.375e-08	1.117e-08	3.06e-14	3.634e-09	8.555e-09	1.531e-10	5.734e-16	8.87e-12	8.053e-22	1.663e-08	3.536e-17	1.322e-16	2.13e-09	5.34e-11	3.932e-17	2.503e-13	3.198e-14	0.007924
22:41468678-41468778	1.111e-09	4.783e-06	4.243e-11	7.869e-11	8.763e-12	5.843e-06	3.346e-14	1.608e-08	5.153e-09	1.768e-10	7.694e-06	8.683e-18	3.468e-11	2.188e-07	7.086e-14	2.007e-13	2.234e-11	6.61e-10	2.586e-12
1:33127542-33127642	1.998e-10	0.005495	2.685e-11	5.039e-09	7.168e-13	0.003852	2.426e-15	4.677e-10	2.073e-08	2.6e-19	6.043e-09	1.161e-19	3.091e-08	2.467e-10	2.154e-12	3.292e-17	1.121e-12	5.101e-11	1.496e-11
1:58782511-58782611	3.234e-11	1.746e-11	2.318e-12	7.452e-11	1.513e-14	2.123e-11	2.934e-15	1.356e-13	2.621e-10	4.095e-16	1.359e-09	1.015e-19	6.02e-05	6.461e-10	7.485e-14	4.493e-17	1.948e-13	8.73e-15	1.504e-12
13:45340652-45340752	1.151e-10	3.039e-08	9.368e-08	7.489e-10	7.443e-08	3.357e-11	1.64e-08	2.457e-19	1.135e-14	2.573e-19	2.391e-10	7.025e-11	1.908e-14	3.11e-06	1.827e-10	1.073e-16	5.945e-12	9.149e-12	3.905e-09
20:49915545-49915645	1.96e-05	1.816e-06	1.581e-10	1.998e-08	3.079e-10	5.588e-10	2.199e-12	9.95e-16	1.035e-12	1.659e-16	2.57e-11	7.293e-18	6.216e-17	6.854e-08	3.719e-10	7.627e-17	2.116e-11	1.125e-10	1.201e-09
3:46866729-46866829	1.633e-11	1.156e-10	4.177e-11	7.182e-09	3.864e-09	7.833e-12	1.496e-09	2.826e-10	1.486e-10	3.948e-14	0.000103	2.827e-11	3.94e-11	1.021e-09	2.628e-11	3.099e-12	6.278e-11	6.066e-14	2.13e-10
12:6689691-6689791	1.183e-09	0.0002183	2.628e-11	2.016e-12	1.992e-10	1.952e-05	2.427e-13	2.596e-15	1.352e-11	5.583e-12	2.531e-07	2.343e-17	2.179e-08	3.247e-09	8.189e-13	1.263e-17	4.066e-13	2.544e-13	1.155e-10
5:181223220-181223320	8.705e-09	0.002172	7.857e-13	2.505e-13	5.031e-11	0.0009586	1.535e-10	2.664e-14	1.038e-11	3.471e-19	4.589e-11	3.738e-17	5.752e-15	1.568e-11	2.295e-13	3.731e-16	7.065e-16	7.347e-13	1.049e-10
8:56074556-56074656	6.361e-11	3.356e-06	1.163e-08	2.078e-09	5.845e-11	1.264e-07	4.2e-13	7.275e-11	3.253e-08	1.452e-20	2.631e-10	8.604e-19	8.188e-15	8.713e-09	2.206e-13	5.297e-14	3.218e-13	6.827e-12	2.691e-09
17:75035027-75035127	5.26e-10	7.581e-11	2.896e-12	4.4e-14	3.924e-11	1.531e-10	7.46e-12	1.516e-13	1.744e-11	4.859e-18	1.787e-09	9.16e-18	4.874e-08	3.797e-10	2.624e-10	1.679e-14	4.309e-17	3.388e-09	2.491e-11
1:61725055-61725155	4.49e-07	0.001304	1.35e-10	4.332e-12	2.023e-10	4.405e-05	4.706e-14	7.903e-19	2.376e-13	5.904e-21	5.168e-10	1.035e-17	2.37e-16	3.911e-09	1.242e-13	5.182e-14	1.937e-10	0.008635	1.35e-08
5:73498421-73498521	1.761e-07	0.003783	1.01e-08	3.394e-07	9.278e-08	0.000901	1.361e-11	1.619e-12	4.214e-11	9.238e-24	3.763e-09	1.45e-15	4.508e-13	3.515e-06	8.875e-12	2.344e-18	7.908e-06	0.00436	6.898e-08
X:15855166-15855266	1.721e-09	3.928e-06	2.37e-08	5.539e-11	1.634e-11	4.46e-06	2.891e-10	2.63e-11	1.369e-08	1.732e-17	7.06e-10	1.738e-12	3.157e-13	7.028e-07	2.412e-13	2.682e-13	3.596e-11	1.023e-11	1.181e-10
1:53220313-53220413	3.785e-08	8.83e-11	1.22e-10	8.367e-11	3.423e-13	3.616e-13	1.102e-08	3.993e-15	3.299e-11	5.164e-17	6.078e-09	1.36e-11	4.725e-09	5.651e-09	1.605e-11	7.083e-18	7.632e-16	6.034e-11	3.015e-10
8:117520790-117520890	2.845e-09	0.0001927	4.4e-08	6.821e-13	1.532e-06	5e-06	5.391e-11	3.563e-13	1.213e-10	2.345e-19	2.735e-07	4.97e-17	4.485e-14	7.203e-07	1.322e-09	2.157e-17	1.677e-08	9.992e-09	2.992e-11
1:84365972-84366072	3.485e-10	2.087e-05	7.56e-08	2.321e-09	4.185e-11	5.872e-06	1.691e-11	6.452e-06	1.457e-05	1.047e-09	5.583e-06	8.067e-15	2.084e-07	1.371e-05	3.564e-10	1.445e-17	7.492e-08	3.556e-11	1.741e-09
6:27020327-27020427	2.748e-13	3.985e-13	9.806e-15	3.976e-12	4.185e-11	1.664e-16	7.659e-20	2.01e-13	9.842e-11	9.429e-27	1.878e-12	1.147e-23	3.508e-22	5.52e-13	5.261e-17	1.445e-17	3.1e-18	5.641e-17	3.424e-18
17:36544320-36544420	4.581e-09	2.364e-10	8.358e-10	5.118e-08	2.327e-11	2.572e-12	1.692e-13	3.97e-12	5.982e-10	8.562e-14	8.242e-06	1.464e-16	1.005e-16	1.975e-10	7.223e-11	1.203e-13	3.311e-11	2.816e-11	2.624e-09
15:69414188-69414288	6.817e-07	0.006221	4.549e-10	9.896e-14	4.072e-10	0.0009018	1.81e-13	3.903e-19	7.42e-12	1.661e-19	3.225e-09	5.204e-17	1.945e-15	3.239e-10	6.262e-10	1.331e-15	1.828e-15	3.128e-13	2.879e-10
20:62182824-62182924	3.356e-12	5.914e-05	3.199e-09	3.329e-11	6.46e-13	2.604e-06	3.092e-15	1.077e-18	1.153e-12	2.496e-21	6.266e-11	8.216e-21	5.936e-10	1.864e-08	4.331e-12	1.652e-15	3.02e-12	4.156e-11	2.566e-08
17:44899454-44899554	6.232e-10	4.015e-07	2.32e-09	1.53e-12	4.364e-11	8.864e-10	2.466e-14	1.469e-16	5.034e-11	2.306e-17	2.339e-08	3.686e-18	1.441e-15	6.147e-12	9.618e-12	1.132e-17	2.01e-16	7.904e-11	3.548e-11
17:10697618-10697718	6.142e-11	1.838e-10	3.002e-08	4.612e-10	6.825e-11	2.185e-12	1.646e-13	8.177e-15	5.036e-12	1.696e-15	3.457e-06	1.324e-13	3.71e-12	8.697e-10	5.473e-13	1.319e-13	1.276e-13	1.76e-14	6.754e-08
1:32222185-32222285	3.322e-10	6.372e-06	7.766e-11	1.554e-10	6.49e-11	2.038e-08	1.285e-14	1.249e-16	1.621e-12	3.334e-16	5.748e-08	4.179e-18	4.668e-16	1.273e-09	8.147e-14	3.453e-18	2.738e-14	4.362e-12	1.208e-11
19:7069563-7069663	2.701e-10	7.139e-10	1.807e-07	2.706e-14	5.171e-10	3.67e-11	1.245e-13	9.725e-17	1.931e-12	8.982e-16	1.908e-08	2.121e-17	8.509e-12	8.739e-08	7.207e-12	2.374e-17	1.554e-14	2.486e-13	9.257e-12
9:95875952-95876052	1.49e-08	2.366e-05	5.932e-11	3.22e-13	1.64e-08	6.035e-07	9.231e-15	6.091e-17	1.943e-14	2.8e-16	1.309e-08	3.665e-17	6.03e-13	3.881e-09	1.211e-13	6.268e-18	1.453e-10	1.982e-09	2.17e-13
12:10613548-10613648	0.002565	6.439e-07	3.094e-09	1.018e-07	1.967e-11	3.61e-11	1.396e-06	1.258e-16	2.237e-11	4.769e-21	1.884e-10	2.904e-10	1.222e-14	1.238e-06	1.536e-11	5.807e-16	7.341e-12	1.651e-10	1.245e-08
12:102062080-102062180	6.181e-10	0.0003878	7.018e-12	3.928e-13	2.855e-12	2.163e-05	5.23e-12	4.81e-13	3.41e-10	3.076e-21	4.476e-10	9.739e-12	1.585e-08	6.815e-10	6.938e-10	1.684e-19	5.425e-15	3.553e-12	2.232e-10
17:81703273-81703373	2.841e-05	5.731e-12	1.709e-10	2.506e-11	6.89e-07	3.304e-11	3.002e-08	1.729e-10	8.591e-11	4.765e-17	5.597e-11	2.49e-11	5.213e-13	5.825e-08	5.473e-12	6.798e-19	3.125e-11	1.215e-13	1.654e-06
5:157731481-157731581	3.6e-08	8.403e-10	7.316e-08	3.621e-08	7.367e-13	4.051e-12	1.5e-11	6.326e-12	2.081e-09	1.39e-16	3.911e-09	1.586e-16	2.246e-10	3.103e-09	8.025e-10	1.076e-16	1.082e-11	5.254e-09	2.221e-10
5:38806826-38806926	1.113e-09	1.538e-08	6.559e-08	2.089e-12	1.558e-11	2.578e-11	7.477e-14	0.0001426	2.668e-05	2.328e-15	1.541e-07	1.973e-18	5.607e-15	5.433e-06	2.105e-13	8.476e-15	9.967e-10	2.597e-12	2.337e-12
19:9407002-9407102	8.79e-09	0.0002566	2.959e-08	1.361e-12	3.172e-13	6.695e-05	1.724e-14	4.452e-17	4.612e-12	2.464e-20	5.828e-10	4.871e-18	5.242e-14	8.285e-07	1.638e-13	3.008e-17	8.259e-17	3.575e-12	2.554e-11
12:52064228-52064328	1.467e-07	1.443e-10	3.587e-10	2.203e-08	9.937e-10	3.399e-11	1.897e-06	1.396e-11	7.743e-10	4.595e-20	1.6e-08	5.133e-09	5.682e-09	3.623e-10	9.208e-11	6.81e-17	2.138e-11	3.911e-11	3.11e-11
14:77457827-77457927	2.448e-09	2.189e-09	1.407e-09	2.114e-10	2.541e-14	1.698e-11	1.972e-10	9.746e-10	2.025e-07	2.942e-16	5.676e-07	2.317e-11	1.963e-12	1.113e-06	6.096e-12	1.836e-17	6.285e-13	4.986e-10	6.433e-13
10:91590682-91590782	1.707e-06	7.267e-07	2.173e-10	6.839e-07	4.06e-10	1.507e-09	7.319e-09	0.0001282	0.0001186	2.849e-19	4.302e-10	7.426e-11	1.674e-07	1.493e-08	2.828e-08	1.191e-15	3.369e-11	2.72e-09	1.998e-10
2:74507650-74507750	1.739e-07	0.005495	2.275e-10	1.022e-10	2.289e-06	0.003852	1.474e-15	6.293e-19	9.882e-13	9.169e-18	8.248e-10	1.355e-21	1.066e-08	3.977e-09	3.805e-13	5.333e-18	4.143e-13	0.0001683	2.468e-11
14:74713095-74713195	0.0001668	0.002831	2.871e-10	7.202e-08	3.177e-11	6.394e-05	5.458e-11	4.622e-15	6.499e-11	1.26e-18	4.143e-10	7.548e-14	2.42e-09	1.96e-09	7.674e-10	1.866e-19	4.093e-14	7.829e-12	2.176e-11
14:55051546-55051646	5.788e-13	2.27e-08	9.728e-08	1.945e-14	1.302e-07	3.807e-11	1.107e-15	7.623e-19	1.639e-13	1.959e-18	2.935e-10	5.16e-23	6.334e-16	4.069e-06	1.389e-15	7.297e-16	2.546e-11	3.651e-14	6.987e-09
19:597486-597586	3.243e-11	5.703e-07	1.01e-12	2.15e-14	1.347e-09	3.959e-10	6.901e-17	1.769e-11	5.522e-11	3.792e-19	5.514e-11	1.465e-22	2.292e-14	1.741e-09	4.342e-12	4.515e-14	7.144e-13	3.689e-13	4.699e-11
