SEQID	YY1	CTCF	ZBTB33	REST
1:207826158-207826258	2.217e-10	7.726e-14	2.078e-09	1.169e-21
11:73779669-73779769	3.009e-10	1.631e-09	6.838e-09	2.866e-16
5:6745973-6746073	1.748e-11	4.93e-15	1.771e-13	3.86e-17
22:42500738-42500838	9.24e-11	1.896e-11	2.792e-05	1.824e-15
22:50620733-50620833	7.733e-10	7.884e-10	7.401e-11	3.914e-13
3:49429397-49429497	9.342e-16	7.884e-10	7.917e-11	3.914e-13
9:35756861-35756961	3.722e-13	4.371e-11	5.102e-13	1.2e-15
10:128011488-128011588	1.691e-10	0.006741	3.041e-11	1.341e-17
1:8862796-8862896	8.36e-12	2.326e-08	2.393e-08	2.805e-14
17:81860391-81860491	1.041e-10	1.407e-09	1.388e-09	7.769e-14
16:3129883-3129983	1.322e-13	6.553e-16	3.813e-15	1.033e-20
6:37099769-37099869	1.386e-14	4.049e-13	1.085e-07	1.304e-21
15:37996031-37996131	2.242e-10	1.263e-14	2.261e-12	1.521e-14
13:53152143-53152243	4.287e-10	2.828e-13	3.558e-12	1.031e-07
14:68794671-68794771	5.9e-14	2.824e-11	8.176e-11	5.549e-16
2:96509558-96509658	7.456e-13	0.001304	1.271e-11	1.155e-11
1:207454788-207454888	8.933e-14	1.046e-10	5.696e-08	2.306e-14
19:49929898-49929998	2.233e-12	1.958e-12	7.632e-10	1.862e-17
1:149928374-149928474	1.172e-10	8.169e-11	1.238e-11	1.839e-18
17:7584047-7584147	6.725e-07	2.001e-12	6.263e-09	3.168e-17
15:69436347-69436447	1.984e-14	8.975e-15	3.723e-14	2.725e-15
7:102425949-102426049	6.857e-14	5.564e-09	5.69e-11	5.588e-17
20:35542176-35542276	6.362e-16	2.194e-10	2.753e-08	3.263e-15
13:112588249-112588349	7.856e-15	2.073e-09	1.698e-06	2.491e-13
6:33571526-33571626	1.245e-11	3.406e-10	3.82e-11	8.004e-17
17:48037246-48037346	6.05e-10	1.347e-11	1.13e-11	5.941e-14
7:26199612-26199712	6.268e-11	3.185e-07	2.477e-09	1.11e-14
7:100158811-100158911	6.881e-08	1.368e-11	1.01e-10	4.838e-17
10:77711765-77711865	9.177e-15	1.606e-07	4.441e-13	7.355e-16
X:12956640-12956740	1.51e-10	8.752e-14	8.989e-11	9.952e-21
2:181104839-181104939	2.31e-11	2.31e-12	6.772e-15	6.494e-18
5:148733891-148733991	6.023e-13	1.916e-14	2.785e-14	3.771e-20
2:136255383-136255483	1.189e-14	3.808e-14	5.977e-17	7.219e-23
11:507473-507573	6.774e-14	4.722e-13	1.88e-08	7.416e-18
8:127178871-127178971	6.115e-12	5.297e-12	8.31e-12	4.108e-16
20:6940427-6940527	1.694e-08	6.33e-16	8.388e-12	1.877e-20
20:50169517-50169617	9.472e-12	0.0003161	1.453e-08	1.841e-18
5:52800417-52800517	3.622e-13	2.132e-12	1.812e-10	3.431e-14
13:23375868-23375968	2.783e-12	2.569e-13	8.021e-13	2.082e-17
19:56121676-56121776	6.173e-10	1.85e-07	4.984e-08	2.472e-16
7:128739482-128739582	3.676e-13	1.912e-10	7.014e-10	5.48e-12
1:161505487-161505587	2.696e-10	3.496e-13	6.955e-14	2.677e-15
X:129932292-129932392	7.015e-13	2.082e-13	7.887e-13	5.089e-18
19:18104773-18104873	1.945e-08	1.08e-12	1.401e-11	1.038e-16
7:55887623-55887723	1.365e-14	3.739e-11	5.396e-14	2.264e-15
7:134514917-134515017	4.964e-13	1.167e-11	3.256e-15	5.823e-17
15:45215788-45215888	6.556e-10	4.079e-14	4.423e-12	9.372e-18
22:50531864-50531964	1.772e-12	1.484e-10	2.239e-11	1.903e-14
20:62302673-62302773	2.024e-15	7.505e-06	6.159e-10	6.398e-16
18:80160030-80160130	8.012e-15	1.744e-09	1.275e-06	9.523e-15
10:93062979-93063079	4.618e-13	2.407e-13	5.502e-10	5.079e-17
13:27830254-27830354	3.153e-12	5.113e-14	4.613e-11	9.242e-17
16:4261880-4261980	4.144e-13	1.216e-08	1.865e-11	6.89e-18
1:150549137-150549237	1.145e-13	1.857e-08	3.662e-09	1.822e-12
13:113297239-113297339	4.136e-13	6.292e-11	2.422e-09	2.095e-15
13:51126127-51126227	1.353e-07	1.189e-12	5.032e-13	1.061e-15
8:141278914-141279014	9.873e-11	1.891e-11	2.865e-13	4.928e-15
7:41712104-41712204	1.198e-14	4.142e-15	1.424e-14	2.326e-21
12:53047654-53047754	3.336e-14	6.576e-08	1.788e-11	6.299e-14
6:42783515-42783615	2.314e-11	2.964e-11	3.373e-06	4.024e-14
2:48315591-48315691	2.131e-10	4.56e-12	1.48e-11	2.781e-18
18:46098450-46098550	1.264e-12	3.877e-09	8.917e-11	1.416e-13
3:105366826-105366926	3.757e-14	1.975e-12	8.593e-11	1.077e-17
3:49429706-49429806	1.808e-15	7.461e-14	6.776e-08	4.819e-18
12:95996599-95996699	9.026e-14	2.572e-11	2.046e-14	2.171e-16
4:6681516-6681616	6.916e-08	1.514e-12	1.585e-08	1.559e-17
1:25859623-25859723	1.901e-12	2.186e-15	5.331e-11	8.792e-17
6:43308467-43308567	1.131e-09	1.245e-07	1.37e-10	7.174e-16
19:17775689-17775789	1.001e-16	1.245e-07	1.37e-10	7.174e-16
7:99438961-99439061	1.001e-09	2.315e-11	5.61e-10	8.727e-19
1:2151088-2151188	1.23e-18	9.451e-24	1.354e-15	3.514e-28
1:207069405-207069505	2.486e-11	9.651e-11	2.589e-09	2.992e-15
5:54674167-54674267	3.158e-10	5.892e-14	5.157e-11	1.207e-21
16:31117867-31117967	1.03e-14	1.223e-10	1.231e-12	2.459e-15
5:59813969-59814069	4.057e-12	7.56e-14	2.206e-11	4.649e-19
3:14921508-14921608	7.142e-13	7.95e-10	1.633e-11	5.262e-19
5:150485813-150485913	1.129e-14	8.144e-12	2.006e-11	1.061e-14
7:17641083-17641183	2.309e-10	4.159e-09	2.088e-13	1.952e-18
1:1906381-1906481	2.241e-11	1.179e-07	3.371e-11	2.036e-14
10:77005286-77005386	2.171e-13	4.896e-12	7.648e-11	2.117e-15
15:101168290-101168390	1.653e-13	7.145e-12	3.205e-08	3.52e-18
2:84971331-84971431	3.826e-16	3.698e-10	4.528e-06	3.564e-17
1:226717564-226717664	2.11e-14	2.973e-15	8.909e-13	9.679e-15
9:75087759-75087859	3.151e-08	1.531e-08	7.922e-11	5.938e-16
19:8253336-8253436	8.769e-15	5.646e-11	4.737e-12	4.186e-13
7:66825836-66825936	2.508e-08	2.275e-12	4.503e-10	1.636e-17
X:12975446-12975546	2.207e-10	1.154e-12	3.475e-11	1.529e-13
2:99155175-99155275	2.303e-12	2.021e-09	4.05e-11	3.064e-14
17:51260768-51260868	1.755e-10	2.313e-11	2.021e-10	5.555e-17
17:44775944-44776044	3.095e-13	3.278e-09	5.032e-11	4.914e-15
3:181700816-181700916	1.522e-13	2.182e-11	4.657e-12	1.375e-18
2:237475747-237475847	3.462e-11	1.065e-11	9.833e-10	2.201e-15
5:132008215-132008315	2.699e-14	1.525e-12	6.034e-11	4.642e-16
11:19241227-19241327	2.025e-14	1.92e-12	6.683e-08	2.641e-17
13:36283148-36283248	1.502e-11	6.095e-12	6.034e-13	4.576e-20
3:132257201-132257301	5.202e-12	1.875e-16	9.836e-11	1.347e-18
4:158253629-158253729	8.834e-11	3.524e-13	2.544e-11	2.648e-19
20:35773613-35773713	8.973e-12	4.467e-11	1.121e-13	4.165e-15
1:153945426-153945526	6.532e-07	5.548e-11	3.766e-12	6.872e-19
9:117696524-117696624	0.001254	3.412e-18	1.04e-17	3e-22
15:101138079-101138179	5.416e-15	2.068e-10	1.594e-10	1.546e-13
5:1517378-1517478	1.232e-11	7.484e-10	5.658e-11	7.015e-17
8:73878974-73879074	3.123e-09	1.066e-09	1.569e-08	7.948e-18
16:2777646-2777746	3.733e-10	1.95e-12	2.84e-11	5.491e-17
2:174697497-174697597	2.853e-15	6.183e-14	9.101e-13	3.731e-16
10:70880436-70880536	6.985e-10	3.739e-15	1.384e-10	6.352e-18
X:153935353-153935453	3.556e-12	1.807e-09	4.081e-08	2.981e-14
21:39380476-39380576	7.872e-13	6.725e-12	1.154e-10	2.351e-14
16:66315573-66315673	2.185e-14	3.335e-13	2.377e-12	3.996e-17
1:55277894-55277994	3.538e-10	3.912e-14	1.62e-15	1.411e-19
2:68829543-68829643	5.087e-11	3.656e-09	3.924e-12	2.117e-16
17:61411134-61411234	5.318e-11	2.521e-08	2.068e-08	3.798e-18
22:50030603-50030703	3.607e-13	4.942e-10	9.939e-11	2.421e-14
10:92240791-92240891	2.729e-13	1.794e-13	4.699e-11	2.079e-17
2:31524246-31524346	5.698e-14	4.201e-11	1.628e-09	1.35e-13
22:31273216-31273316	4.867e-11	6.954e-11	1.336e-11	1.676e-13
1:220272496-220272596	1.14e-11	8.384e-09	2.467e-09	8.912e-16
3:48549098-48549198	4.534e-05	6.996e-07	1.003e-09	4.056e-14
5:181192045-181192145	2.365e-13	1.313e-11	1.272e-11	2.426e-13
16:25111956-25112056	2.507e-11	8.132e-11	2.765e-10	5.59e-14
15:80091183-80091283	4.727e-10	4.429e-12	7.514e-10	2.081e-19
