SEQID	TAL1::TCF3	REST
chr9:126872721-126872821	4.563e-08	3.725e-17
chr6:33780610-33780710	7.478e-06	4.403e-17
chr14:106267659-106267759	2.32e-05	6.926e-15
chr1:21974534-21974634	2.054e-08	7.831e-15
chr20:37314644-37314744	9.253e-10	3.717e-11
chr3:56528840-56528940	5.448e-08	6.653e-19
chr19:55028818-55028918	2.295e-07	1.94e-16
chr1:153395087-153395187	1.789e-08	1.044e-15
chr18:34850147-34850247	3.217e-08	1.141e-17
chr2:44243564-44243664	0.001296	3.484e-18
chr19:17792531-17792631	6.662e-08	1.497e-18
chr19:2740212-2740312	2.614e-08	1.898e-14
chr1:159147234-159147334	3.381e-07	4.622e-17
chr2:42064245-42064345	8.195e-09	5.393e-15
chr10:25463491-25463591	1.799e-07	1.693e-19
chr6:88146267-88146367	7.915e-07	2.124e-19
chr16:2765577-2765677	8.161e-08	1.694e-15
chr1:37486412-37486512	6.591e-08	3.659e-19
chr10:86051301-86051401	9.583e-09	7.774e-16
chr16:17232841-17232941	3.911e-09	6.802e-20
chr3:67164373-67164473	0.0003676	5.187e-20
chr6:158957284-158957384	1.055e-06	2.196e-13
chr19:44293345-44293445	8.177e-07	3.914e-19
chr19:51925360-51925460	5.432e-07	9.468e-19
chr1:204616819-204616919	9.777e-08	9.225e-12
chr6:69942885-69942985	1.203e-06	3.932e-20
chr19:5404211-5404311	1.15e-07	0.008817
chr17:58217288-58217388	3.397e-08	2.647e-17
chr10:50815142-50815242	2.636e-09	6.538e-18
chr15:75280478-75280578	4.649e-08	4.026e-17
chr2:101087514-101087614	2.729e-08	1.645e-17
chr6:39105185-39105285	4.004e-08	5.384e-18
chr20:43408950-43409050	3.937e-09	1.07e-14
chr1:32189502-32189602	4.162e-08	2.316e-19
chr1:7135529-7135629	2.13e-08	1.91e-17
chr7:140797364-140797464	2.853e-08	1.017e-18
chr3:139516725-139516825	1.888e-07	1.372e-16
chr15:89962746-89962846	8.037e-09	2.601e-18
chr5:6328401-6328501	1.499e-06	1.575e-17
chr9:37027646-37027746	5.511e-08	1.517e-16
chr12:117296003-117296103	9.639e-08	2.102e-16
chr20:62793375-62793475	3.631e-07	4.331e-17
chr20:36255524-36255624	2.012e-07	1.846e-16
chr1:6112632-6112732	2.903e-06	1.238e-13
chr19:3307484-3307584	4.615e-09	4.906e-11
